"RegionRegion","States","Max. Demand Met during the day (MW)","Peak hourShortage (MW)","EnergyMet (MU)","DrawalSchedule (MU)","OD(+)/UD(-) (MU)","MaxOD (MW)"
"NR","Punjab","8484","0","220.7","125.4","0.4","171"
"","Haryana","7009","0","153.3","109.8","-3.1","172"
"","Rajasthan","6180","0","133.2","45.0","-8.1","0"
"","Delhi","4323","0","92.4","77.0","-3.9","162"
"","UP","11030","640","241.6","122.2","-4.5","139"
"","Uttarakhand","1445","200","32.1","16.9","-1.1","137"
"","HP","1074","0","22.8","0.3","-0.4","105"
"","J&K","1676","100","31.3","18.7","-1.2","229"
"","Chandigarh","276","0","5.6","6.3","-0.7","0"
"WR","Chhattisgarh","2877","16","63.3","23.9","0.8","574"
"","Gujarat","8685","46","205.7","51.2","3.1","612"
"","MP","5519","8","110.8","28.7","-2.3","314"
"","Maharashtra","13700","73","298.0","75.3","6.8","1334"
"","Goa","332","0","6.5","6.5","-0.4","0"
"","DD","241","0","5.8","5.6","0.3","60"
"","DNH","514","1","12.2","12.7","-0.5","13"
"","Essar steel","431","3","9.3","9.2","0.1","0"
"SR","Andhra Pradesh","9916","800","209.9","75.8","1.6","314"
"","Karnataka","6753","400","136.5","5.4","-0.9","196"
"","Kerala","2781","0","51.1","22.7","1.3","215"
"","Tamil Nadu","11098","550","243.0","76.2","0.7","286"
"","Pondy","284","0","5.9","6.6","-0.6","14"
"ER","Bihar","2024","0","38.9","37.0","1.9","310"
"","DVC","2692","0","58.5","-25.1","0.1","210"
"","Jharkhand","1053","0","21.0","14.5","-0.8","40"
"","Odisha","3565","0","66.5","17.2","0.0","225"
"","West Bengal","6934","34","135.9","42.0","6.3","580"
"","Sikkim","59","0","0.9","1.0","-0.1","32"
"NER","Arunachal Pradesh","99","6","1.2","1.5","-0.3","40"
"","Assam","1130","168","22.7","14.6","2.3","238"
"","Manipur","113","2","1.3","2.3","-1.0","16"
"","Meghalaya","255","10","4.3","0.3","-0.3","77"
"","Mizoram","47","8","0.9","1.0","-0.2","12"
"","Nagaland","90","5","1.2","1.3","-0.5","18"
"","Tripura","180","43","3.4","1.5","0.1","51"
