"RegionRegion","States","Max. Demand Met during the day (MW)","Peak hourShortage (MW)","EnergyMet (MU)","DrawalSchedule (MU)","OD(+)/UD(-) (MU)","MaxOD (MW)"
"NR","Punjab","4437","0","81.6","27.1","1.9","362"
"","Haryana","5283","98","96.0","40.4","-1.0","358"
"","Rajasthan","8636","0","177.1","61.3","-2.1","123"
"","Delhi","3580","0","62.4","43.5","-2.6","240"
"","UP","9775","1780","218.0","90.7","-1.8","320"
"","Uttarakhand","1702","40","32.5","24.6","0.6","177"
"","HP","1283","6","23.6","19.0","0.4","94"
"","J&K","1772","100","38.7","34.5","-1.6","179"
"","Chandigarh","219","0","3.6","3.0","0.6","67"
"WR","Chhattisgarh","3040","79","67.5","22.9","0.3","230"
"","Gujarat","11065","0","233.5","42.2","0.7","280"
"","MP","6386","0","126.2","55.0","-2.6","254"
"","Maharashtra","17465","129","355.2","107.1","-0.2","545"
"","Goa","389","0","7.4","7.5","-0.8","29"
"","DD","250","0","5.4","5.3","0.2","14"
"","DNH","645","0","13.8","13.1","0.7","66"
"","Essar steel","366","0","7.4","6.9","0.4","60"
"SR","Andhra Pradesh","11412","1000","261.9","96.8","6.5","460"
"","Karnataka","8990","300","181.1","21.3","0.4","357"
"","Kerala","3242","150","58.6","25.5","2.1","210"
"","Tamil Nadu","11671","746","244.4","89.8","0.5","583"
"","Pondy","292","0","5.6","6.0","-0.4","47"
"ER","Bihar","1985","250","42.0","39.4","2.0","190"
"","DVC","2560","0","57.8","-15.9","-2.4","160"
"","Jharkhand","990","0","20.5","12.1","-1.0","40"
"","Odisha","3448","0","65.2","15.6","2.6","240"
"","West Bengal","6520","34","101.6","22.0","4.4","395"
"","Sikkim","88","0","1.1","1.4","-0.3","20"
"NER","Arunachal Pradesh","109","6","1.5","1.3","0.3","50"
"","Assam","968","146","19.0","11.7","2.6","195"
"","Manipur","117","8","1.6","1.5","0.1","46"
"","Meghalaya","294","5","4.6","3.3","0.2","66"
"","Mizoram","74","4","1.1","0.9","-0.1","29"
"","Nagaland","97","3","1.6","1.4","0.0","33"
"","Tripura","196","1","2.9","0.3","-0.1","22"
