"RegionRegion","States","Max. Demand Met during the day (MW)","Peak hourShortage (MW)","EnergyMet (MU)","DrawalSchedule (MU)","OD(+)/UD(-) (MU)","MaxOD (MW)"
"NR","Punjab","4864","0","99.0","50.2","-0.4","47"
"","Haryana","5300","277","92.8","63.5","-0.3","172"
"","Rajasthan","7436","221","161.1","40.3","4.4","385"
"","Delhi","3375","110","67.4","55.3","-0.6","173"
"","UP","11172","2085","243.3","109.2","-2.1","176"
"","Uttarakhand","1524","75","31.3","20.7","1.1","142"
"","HP","1274","1","24.7","12.5","0.7","85"
"","J&K","1565","100","31.3","22.3","-3.8","2"
"","Chandigarh","189","0","3.6","3.3","0.3","28"
"WR","Chhattisgarh","3361","51","81.2","23.2","-0.2","200"
"","Gujarat","12460","60","277.5","47.7","-1.1","338"
"","MP","7118","5","153.7","70.1","-1.6","206"
"","Maharashtra","17883","17","400.5","130.3","0.4","444"
"","Goa","418","0","9.0","8.2","0.1","77"
"","DD","282","0","6.3","6.3","0.0","15"
"","DNH","638","0","15.0","14.9","0.1","19"
"","Essar steel","540","0","12.3","12.5","-0.3","15"
"SR","Andhra Pradesh","11450","1500","263.4","91.4","2.4","434"
"","Karnataka","8747","300","194.3","36.9","0.5","282"
"","Kerala","3342","50","62.9","30.6","2.7","244"
"","Tamil Nadu","12505","769","279.4","98.8","1.8","543"
"","Pondy","337","0","7.3","7.3","0.0","31"
"ER","Bihar","2480","0","48.4","47.0","-0.9","190"
"","DVC","2395","0","54.7","-10.6","-0.6","250"
"","Jharkhand","884","0","20.8","10.1","0.1","120"
"","Odisha","3707","0","76.2","18.0","-0.6","240"
"","West Bengal","7048","0","149.0","50.1","1.5","230"
"","Sikkim","103","0","1.5","1.3","0.3","20"
"NER","Arunachal Pradesh","98","2","1.4","1.0","0.5","43"
"","Assam","1062","183","19.4","12.0","3.2","203"
"","Manipur","97","18","1.6","1.4","0.2","43"
"","Meghalaya","262","18","4.0","3.2","0.1","62"
"","Mizoram","74","1","1.1","0.9","0.0","21"
"","Nagaland","95","10","1.7","1.5","-0.1","35"
"","Tripura","270","0","2.8","0.9","-0.5","55"
