"RegionRegion","States","Max. Demand Met during the day (MW)","Peak hourShortage (MW)","EnergyMet (MU)","DrawalSchedule (MU)","OD(+)/UD(-) (MU)","MaxOD (MW)"
"NR","Punjab","9247","0","200.0","116.5","1.2","361"
"","Haryana","7668","0","161.2","104.9","-2.5","169"
"","Rajasthan","8185","0","183.7","46.0","-1.2","234"
"","Delhi","5029","0","108.6","79.4","-2.3","219"
"","UP","11786","1450","258.0","121.2","0.2","508"
"","Uttarakhand","1630","0","33.4","16.5","-1.3","139"
"","HP","1103","0","24.2","-0.4","0.4","92"
"","J&K","1496","100","26.1","15.9","-0.4","290"
"","Chandigarh","340","0","6.7","5.3","1.4","114"
"WR","Chhattisgarh","2712","56","62.9","8.8","-0.2","332"
"","Gujarat","12063","19","266.4","27.6","-0.9","578"
"","MP","6179","15","130.3","74.4","-1.4","250"
"","Maharashtra","16978","111","384.4","105.3","4.8","756"
"","Goa","357","1","7.5","6.8","0.3","32"
"","DD","287","1","6.4","6.3","0.2","34"
"","DNH","648","2","15.4","14.9","0.4","60"
"","Essar steel","437","1","7.9","7.4","0.5","11"
"SR","Andhra Pradesh","5696","400","132.3","27.5","2.2","1071"
"","Telangana","5251","800","117.9","66.1","0.9","285"
"","Karnataka","7270","300","153.6","28.4","1.4","413"
"","Kerala","2841","550","52.1","33.4","1.2","236"
"","Tamil Nadu","12244","0","274.9","89.6","1.5","339"
"","Pondy","321","0","6.8","6.7","0.1","38"
"ER","Bihar","2290","0","45.0","43.3","-0.5","185"
"","DVC","2606","0","58.2","-15.6","1.3","280"
"","Jharkhand","1115","0","18.3","12.5","-1.5","160"
"","Odisha","3774","0","75.8","23.1","4.6","270"
"","West Bengal","6472","0","113.8","23.0","3.9","310"
"","Sikkim","68","0","1.1","1.2","-0.2","21"
"NER","Arunachal Pradesh","84","5","1.4","2.1","-0.7","0"
"","Assam","1158","150","19.8","14.2","0.0","75"
"","Manipur","112","13","1.4","2.2","-0.8","21"
"","Meghalaya","251","19","4.2","1.0","-0.3","27"
"","Mizoram","71","5","1.1","1.3","-0.4","8"
"","Nagaland","106","3","1.6","1.9","-0.5","6"
"","Tripura","186","20","2.8","0.4","0.3","35"
