"RegionRegion","States","Max. Demand Met during the day (MW)","Shortage during maximum Demand (MW)","EnergyMet (MU)","DrawalSchedule (MU)","OD(+)/UD(-) (MU)","MaxOD (MW)"
"NR","Punjab","4393","0","89.7","48.1","-1.4","179"
"","Haryana","5724","0","94.0","73.0","0.4","396"
"","Rajasthan","7384","0","163.2","48.3","-0.5","209"
"","Delhi","3375","0","67.2","48.7","1.2","323"
"","UP","9905","2200","219.4","95.7","-2.0","419"
"","Uttarakhand","1560","0","31.3","18.8","1.9","184"
"","HP","1272","0","24.2","12.2","0.9","172"
"","J&K","1814","288","39.2","22.8","3.8","417"
"","Chandigarh","184","0","3.6","3.6","0.3","17"
"WR","Chhattisgarh","3709","96","83.8","35.0","-1.6","211"
"","Gujarat","12474","0","281.6","60.4","-1.7","527"
"","MP","6996","0","144.3","88.8","-2.3","270"
"","Maharashtra","18465","61","404.3","107.4","-2.3","452"
"","Goa","412","0","9.0","8.2","0.3","71"
"","DD","250","0","5.7","6.1","-0.4","34"
"","DNH","652","0","15.5","16.0","0.5","15"
"","Essar steel","447","0","9.5","9.0","0.5","159"
"SR","Andhra Pradesh","6635","0","150.4","28.4","1.3","352"
"","Telangana","6467","0","149.0","94.8","3.0","375"
"","Karnataka","8920","400","196.8","29.5","3.0","358"
"","Kerala","3231","125","65.9","39.5","1.8","196"
"","Tamil Nadu","12326","310","290.3","115.4","-0.7","346"
"","Pondy","310","0","6.7","6.6","0.2","32"
"ER","Bihar","2505","300","48.8","44.5","3.7","415"
"","DVC","2452","0","55.8","-12.4","-0.4","315"
"","Jharkhand","1034","0","22.1","10.4","-0.2","65"
"","Odisha","4017","0","74.2","24.4","-2.0","298"
"","West Bengal","6738","63","127.9","34.5","1.4","378"
"","Sikkim","79","0","1.9","1.2","0.6","20"
"NER","Arunachal Pradesh","89","5","0.9","1.3","-0.4","32"
"","Assam","1136","178","21.8","14.9","2.3","170"
"","Manipur","79","7","2.2","2.4","-0.2","49"
"","Meghalaya","307","2","4.4","3.9","-0.9","34"
"","Mizoram","67","3","1.1","1.1","0.0","24"
"","Nagaland","112","4","2.0","1.6","0.4","31"
"","Tripura","179","0","2.1","1.7","-0.9","42"
