"RegionRegion","States","Max. Demand Met during the day (MW)","Shortage during maximum Demand (MW)","EnergyMet (MU)","DrawalSchedule (MU)","OD(+)/UD(-) (MU)","MaxOD (MW)"
"NR","Punjab","9086","0","197.8","125.6","-0.5","157"
"","Haryana","7526","556","159.1","135.0","-0.9","489"
"","Rajasthan","8533","0","186.5","63.4","0.2","255"
"","Delhi","4928","1","102.1","91.8","-0.8","127"
"","UP","12863","3545","285.5","147.0","3.5","777"
"","Uttarakhand","1593","155","36.8","13.4","0.9","154"
"","HP","2061","0","26.4","0.6","2.3","393"
"","J&K","1714","428","33.4","18.9","-0.4","216"
"","Chandigarh","292","0","5.6","6.2","-0.8","12"
"WR","Chhattisgarh","3372","96","82.8","30.4","4.5","299"
"","Gujarat","12874","0","286.4","60.6","-2.9","526"
"","MP","6860","0","143.9","69.1","-1.9","272"
"","Maharashtra","18431","27","396.6","130.7","-8.1","359"
"","Goa","409","0","8.4","7.3","0.5","39"
"","DD","297","0","6.7","5.9","0.8","88"
"","DNH","698","0","16.1","16.2","-0.1","37"
"","Essar steel","311","0","6.1","6.0","0.1","134"
"SR","Andhra Pradesh","5550","0","129.9","19.2","1.7","480"
"","Telangana","6145","0","141.0","89.5","0.6","447"
"","Karnataka","6736","950","152.1","27.2","4.8","755"
"","Kerala","3408","0","64.5","36.9","1.3","273"
"","Tamil Nadu","12226","0","273.9","100.6","0.9","524"
"","Pondy","333","0","7.1","7.1","0.0","31"
"ER","Bihar","3021","150","58.8","55.8","3.0","250"
"","DVC","2622","0","59.9","-15.6","-0.4","130"
"","Jharkhand","1034","0","22.2","14.0","-0.4","100"
"","Odisha","3981","0","75.2","19.1","2.0","220"
"","West Bengal","7153","0","142.9","51.3","3.0","240"
"","Sikkim","90","0","1.3","1.4","-0.2","25"
"NER","Arunachal Pradesh","94","1","1.4","1.8","-0.5","10"
"","Assam","1260","202","22.7","16.6","0.1","197"
"","Manipur","134","1","2.2","2.2","0.0","39"
"","Meghalaya","303","2","4.2","-0.1","-1.0","107"
"","Mizoram","74","0","1.2","1.3","-0.1","5"
"","Nagaland","111","2","1.7","1.7","0.0","23"
"","Tripura","244","1","3.5","1.3","0.2","68"
