"RegionRegion","States","Max. Demand Met during the day (MW)","Shortage during maximum Demand (MW)","EnergyMet (MU)","DrawalSchedule (MU)","OD(+)/UD(-) (MU)","MaxOD (MW)"
"NR","Punjab","6635","0","144.2","80.5","3.1","576"
"","Haryana","6892","0","105.9","94.6","-18.3","306"
"","Rajasthan","9299","0","197.5","55.3","1.4","280"
"","Delhi","5569","0","104.9","92.2","-4.8","163"
"","UP","14086","0","265.9","134.0","-7.9","244"
"","Uttarakhand","1678","0","31.9","19.4","-3.8","184"
"","HP","1172","0","22.0","5.1","-1.2","132"
"","J&K","1720","430","34.4","14.2","-4.6","158"
"","Chandigarh","308","0","5.8","6.1","0.3","18"
"WR","Chhattisgarh","3249","0","71.1","21.9","-0.4","322"
"","Gujarat","13993","0","307.5","64.7","-1.3","846"
"","MP","6995","0","156.0","85.0","0.0","456"
"","Maharashtra","19167","0","426.1","120.8","3.5","621"
"","Goa","472","0","10.4","8.3","1.9","79"
"","DD","306","0","6.8","6.3","0.4","70"
"","DNH","738","0","16.9","16.7","0.1","62"
"","Essar steel","537","0","11.2","10.9","0.3","145"
"SR","Andhra Pradesh","6677","0","145.5","13.8","-0.7","558"
"","Telangana","6213","0","133.8","80.6","2.5","430"
"","Karnataka","8285","0","191.2","60.4","-3.6","475"
"","Kerala","3766","0","71.7","55.2","2.4","160"
"","Tamil Nadu","13954","0","296.9","107.4","4.5","727"
"","Pondy","332","0","7.0","7.7","-0.7","40"
"ER","Bihar","3489","0","72.1","67.1","1.0","250"
"","DVC","2712","0","58.4","-27.7","1.4","220"
"","Jharkhand","1136","0","20.1","14.8","2.4","200"
"","Odisha","3558","0","64.2","25.6","1.9","300"
"","West Bengal","7286","0","137.0","48.0","-0.1","270"
"","Sikkim","101","0","1.4","1.5","-0.1","25"
"NER","Arunachal Pradesh","111","3","1.8","2.2","-0.4","77"
"","Assam","1365","88","24.6","16.8","3.2","554"
"","Manipur","125","1","1.6","2.0","-0.5","63"
"","Meghalaya","236","0","4.2","1.3","0.2","151"
"","Mizoram","77","2","1.2","1.2","-0.1","22"
"","Nagaland","132","2","1.6","1.9","-0.4","48"
"","Tripura","231","10","3.7","2.6","0.8","186"
