"RegionRegion","States","Max. Demand Met during the day (MW)","Shortage during maximum Demand (MW)","EnergyMet (MU)","DrawalSchedule (MU)","OD(+)/UD(-) (MU)","MaxOD (MW)"
"NR","Punjab","7202","0","154.7","81.7","0.6","269"
"","Haryana","7397","0","143.4","108.7","0.9","671"
"","Rajasthan","9687","0","217.5","62.7","1.6","369"
"","Delhi","5659","15","119.5","102.3","-1.3","249"
"","UP","14861","0","317.6","141.2","-1.8","705"
"","Uttarakhand","1662","40","35.2","17.7","-0.4","143"
"","HP","1105","0","23.9","5.3","0.2","57"
"","J&K","1686","297","32.0","17.1","-7.0","0"
"","Chandigarh","271","0","5.7","6.0","0.3","28"
"WR","Chhattisgarh","2985","0","73","25","2","285"
"","Gujarat","14978","0","328","69","-4","647"
"","MP","7279","0","164","112","0","653"
"","Maharashtra","19137","0","419","142","5","703"
"","Goa","433","0","10","10","-1","69"
"","DD","319","0","7","7","0","65"
"","DNH","757","0","17","18","0","9"
"","Essar steel","489","0","10","9","0","173"
"SR","Andhra Pradesh","5787","0","128","8.8","0.4","406"
"","Telangana","5671","0","117","64.0","1.3","457"
"","Karnataka","7626","0","163","63.0","3.4","476"
"","Kerala","3292","0","63","49.8","1.9","205"
"","Tamil Nadu","13429","0","289","141.5","-0.9","803"
"","Pondy","338","0","8","7.7","-0.1","12"
"ER","Bihar","3509","150","70","66.6","0.3","130"
"","DVC","2738","150","63","-29.4","1.2","578"
"","Jharkhand","1027","0","22","16.3","0.4","130"
"","Odisha","3842","0","77","29.0","-0.2","420"
"","West Bengal","7678","0","154","39.1","0.5","355"
"","Sikkim","89","0","2","1.3","0.2","22"
"NER","Arunachal Pradesh","108","1","2","2.0","-0.2","41"
"","Assam","1453","94","29","20.7","3.8","187"
"","Manipur","124","0","2","2.1","-0.3","10"
"","Meghalaya","253","0","4","1.9","0.2","35"
"","Mizoram","72","1","1","1.1","0.1","12"
"","Nagaland","110","0","2","1.9","-0.1","23"
"","Tripura","243","1","4","3.5","0.2","61"
