"RegionRegion","States","Max. Demand Met during the day (MW)","Shortage during maximum Demand (MW)","EnergyMet (MU)","DrawalSchedule (MU)","OD(+)/UD(-) (MU)","MaxOD (MW)"
"NR","Punjab","10354","0","226.4","124.6","-0.7","207"
"","Haryana","8636","0","184.9","154.5","-3.4","202"
"","Rajasthan","7544","58","169.4","74.2","1.2","374"
"","Delhi","5375","0","105.9","86.6","-0.3","310"
"","UP","13808","180","306.0","151.4","1.1","386"
"","Uttarakhand","1821","75","36.6","19.0","0.8","280"
"","HP","1135","0","23.2","-6.7","5.1","616"
"","J&K","1691","423","33.2","13.0","-1.7","277"
"","Chandigarh","261","0","5.4","6.0","-0.6","7"
"WR","Chhattisgarh","2682","0","61.6","6.7","-1.0","183"
"","Gujarat","10713","0","240.5","61.7","-0.7","427"
"","MP","6254","0","134.0","76.5","-1.8","521"
"","Maharashtra","14741","0","317.5","90.0","-3.4","543"
"","Goa","434","0","9.3","8.2","0.4","22"
"","DD","294","0","6.7","6.6","0.0","38"
"","DNH","720","0","16.6","16.8","-0.2","18"
"","Essar steel","626","0","11.7","12.3","-0.6","141"
"SR","Andhra Pradesh","6400","0","141.7","12.8","2.0","452"
"","Telangana","6862","0","147.0","96.4","0.2","299"
"","Karnataka","7276","0","148.3","44.8","1.9","468"
"","Kerala","3384","0","63.6","49.3","1.1","118"
"","Tamil Nadu","13833","0","291.5","103.1","3.8","709"
"","Pondy","340","0","7.3","7.4","-0.1","28"
"ER","Bihar","3465","0","68.8","71.6","-2.8","200"
"","DVC","2668","0","57.7","-20.3","3.5","150"
"","Jharkhand","1166","0","23.0","17.4","0.5","100"
"","Odisha","3703","0","71.7","21.0","-0.5","150"
"","West Bengal","7625","0","140.5","37.6","0.3","250"
"","Sikkim","80","0","1.2","1.1","0.0","25"
"NER","Arunachal Pradesh","107","1","2.0","1.9","0.1","10"
"","Assam","1501","98","29.8","20.2","4.7","272"
"","Manipur","131","1","2.0","2.2","-0.2","24"
"","Meghalaya","274","0","4.4","0.6","-0.2","89"
"","Mizoram","71","1","1.3","1.0","0.2","77"
"","Nagaland","109","1","1.7","1.8","-0.1","0"
"","Tripura","257","0","4.1","3.2","0.4","167"
