"RegionRegion","States","Max. Demand Met during the day (MW)","Shortage during maximum Demand (MW)","EnergyMet (MU)","DrawalSchedule (MU)","OD(+)/UD(-) (MU)","MaxOD (MW)"
"NR","Punjab","5357","0","115.5","56.7","0.6","299"
"","Haryana","6754","0","123.4","91.6","-0.1","238"
"","Rajasthan","9166","187","200.3","59.9","1.3","224"
"","Delhi","3897","0","75.9","60.2","0.6","213"
"","UP","13508","570","272.1","95.7","0.5","500"
"","Uttarakhand","1784","0","34.2","19.8","1.8","218"
"","HP","1330","0","24.4","15.1","1.1","130"
"","J&K","1773","443","35.5","31.7","-4.9","0"
"","Chandigarh","192","0","3.6","3.7","-0.1","21"
"WR","Chhattisgarh","3214","0","70.4","12.1","-2.6","105"
"","Gujarat","13305","0","293.3","71.5","-6.8","350"
"","MP","8606","3","192.4","115.6","-2.6","257"
"","Maharashtra","20951","0","443.2","121.2","-0.7","409"
"","Goa","421","0","8.6","7.7","0.4","94"
"","DD","320","0","7.7","7.0","0.2","16"
"","DNH","770","0","17.6","17.9","-0.3","8"
"","Essar steel","332","0","6.5","6.6","-0.1","162"
"SR","Andhra Pradesh","7393","0","164.0","20.5","2.0","629"
"","Telangana","7674","0","158.9","86.5","1.5","233"
"","Karnataka","9061","0","208.4","69.7","7.2","716"
"","Kerala","3511","0","67.2","51.3","2.3","228"
"","Tamil Nadu","14067","0","307.4","147.6","5.4","1040"
"","Pondy","334","0","7.0","7.4","-0.4","31"
"ER","Bihar","3558","0","67.0","63.9","1.4","150"
"","DVC","2695","0","63.3","-35.6","-0.9","100"
"","Jharkhand","1115","0","22.5","15.4","-0.5","85"
"","Odisha","3778","0","67.1","16.8","-2.5","140"
"","West Bengal","7856","0","137.6","46.2","0.3","220"
"","Sikkim","96","0","1.1","1.2","0.0","14"
"NER","Arunachal Pradesh","100","7","2.1","1.8","0.3","15"
"","Assam","1545","4","25.6","18.7","2.3","125"
"","Manipur","115","5","2.2","2.0","0.3","35"
"","Meghalaya","262","9","5.3","1.8","1.0","78"
"","Mizoram","74","4","1.4","1.3","0.0","15"
"","Nagaland","100","4","2.0","1.8","0.2","23"
"","Tripura","252","1","4.2","2.8","1.5","84"
