"RegionRegion","States","Max. Demand Met during the day (MW)","Shortage during maximum Demand (MW)","EnergyMet (MU)","DrawalSchedule (MU)","OD(+)/UD(-) (MU)","MaxOD (MW)"
"NR","Punjab","4649","0","100.9","49.3","-0.5","141"
"","Haryana","6435","0","111.1","77.9","-2.1","136"
"","Rajasthan","9325","488","200.4","75.7","1.5","180"
"","Delhi","3382","0","63.9","54.8","0.1","110"
"","UP","12909","0","275.1","85.0","0.9","612"
"","Uttarakhand","1714","0","33.8","20.8","0.0","146"
"","HP","1306","0","26.7","16.8","0.4","165"
"","J&K","1877","469","36.5","32.4","-3.3","32"
"","Chandigarh","183","0","3.3","3.5","-0.2","20"
"WR","Chhattisgarh","3213","0","70.9","10.2","-0.9","106"
"","Gujarat","10737","0","239.6","68.4","-4.4","528"
"","MP","9521","0","207.0","131.6","-2.1","332"
"","Maharashtra","20158","0","424.8","124.9","0.8","419"
"","Goa","450","0","9.3","7.9","0.9","68"
"","DD","295","0","6.5","6.4","0.1","29"
"","DNH","744","0","16.9","17.2","-0.3","-8"
"","Essar steel","373","0","6.6","6.6","0.0","142"
"SR","Andhra Pradesh","6978","0","162.1","20.0","3.9","551"
"","Telangana","7561","0","154.3","73.7","0.5","226"
"","Karnataka","8617","750","198.6","89.5","6.3","610"
"","Kerala","3428","0","65.1","51.4","2.3","279"
"","Tamil Nadu","12972","0","277.2","125.6","-1.4","545"
"","Pondy","341","0","7.0","7.1","-0.1","36"
"ER","Bihar","3743","0","69.2","65.7","-2.3","302"
"","DVC","2569","0","60.7","-35.6","-1.3","345"
"","Jharkhand","1163","0","23.6","13.7","0.2","135"
"","Odisha","3828","0","68.8","14.7","-0.7","398"
"","West Bengal","7460","0","127.0","46.5","-1.5","402"
"","Sikkim","90","0","1.4","1.3","0.1","20"
"NER","Arunachal Pradesh","114","7","2.0","1.8","0.2","16"
"","Assam","1431","8","25.3","18.2","2.2","143"
"","Manipur","131","7","1.9","2.0","-0.2","9"
"","Meghalaya","235","10","4.6","4.0","-0.5","39"
"","Mizoram","72","5","1.2","1.4","-0.2","14"
"","Nagaland","101","4","1.7","1.8","-0.1","12"
"","Tripura","215","0","3.6","3.5","-0.4","46"
