"RegionRegion","States","Max. Demand Met during the day (MW)","Shortage during maximum Demand (MW)","EnergyMet (MU)","DrawalSchedule (MU)","OD(+)/UD(-) (MU)","MaxOD (MW)"
"NR","Punjab","4853","0","89.7","34.0","-0.6","240"
"","Haryana","5895","0","98.0","64.1","-1.7","293"
"","Rajasthan","9305","0","193.9","70.9","3.9","438"
"","Delhi","3761","0","60.2","51.8","-3.4","250"
"","UP","13060","0","261.4","93.9","2.2","286"
"","Uttarakhand","1903","0","34.9","20.6","0.5","184"
"","HP","1418","0","25.9","20.0","0.7","169"
"","J&K","2047","512","44.2","39.1","0.3","164"
"","Chandigarh","219","0","3.7","3.8","-0.1","11"
"WR","Chhattisgarh","3216","229","73.2","15.9","2.2","469"
"","Gujarat","13314","0","284.5","79.7","-3.2","399"
"","MP","9867","0","198.9","122.5","-3.3","155"
"","Maharashtra","20728","0","425.9","153.1","2.6","536"
"","Goa","524","0","9.4","9.0","-0.2","59"
"","DD","301","0","6.7","6.6","0.1","14"
"","DNH","730","0","16.9","16.9","0.0","12"
"","Essar steel","460","0","9.4","9.2","0.2","200"
"SR","Andhra Pradesh","7010","0","151.8","23.6","2.6","420"
"","Telangana","8007","0","160.7","79.4","1.8","291"
"","Karnataka","9228","0","200.8","75.9","2.9","564"
"","Kerala","3597","0","67.9","56.2","2.3","177"
"","Tamil Nadu","12350","0","254.0","134.8","0.5","594"
"","Pondy","295","0","5.8","6.4","-0.6","18"
"ER","Bihar","3489","0","61.1","58.9","0.5","150"
"","DVC","2437","0","63.7","-31.3","-0.5","200"
"","Jharkhand","1113","0","23.0","16.4","0.1","120"
"","Odisha","3853","0","67.7","12.5","1.4","200"
"","West Bengal","6865","0","110.7","18.2","1.2","200"
"","Sikkim","88","0","2.2","1.7","0.5","15"
"NER","Arunachal Pradesh","91","2","2.1","1.7","0.4","51"
"","Assam","1361","22","22.0","16.3","1.7","241"
"","Manipur","137","6","2.3","2.4","-0.1","31"
"","Meghalaya","291","0","5.6","4.2","-0.2","88"
"","Mizoram","82","2","1.4","1.0","0.4","36"
"","Nagaland","83","3","2.0","1.7","0.2","11"
"","Tripura","207","1","3.5","1.9","0.2","44"
