"RegionRegion","States","Max. Demand Met during the day (MW)","Shortage during maximum Demand (MW)","EnergyMet (MU)","DrawalSchedule (MU)","OD(+)/UD(-) (MU)","MaxOD (MW)"
"NR","Punjab","5184","0","98.7","49.1","0.9","235"
"","Haryana","6152","0","112.4","84.6","0.1","163"
"","Rajasthan","9863","0","203.6","64.6","3.0","418"
"","Delhi","3480","0","56.6","46.5","-1.3","283"
"","UP","13570","0","283.2","97.4","-2.2","280"
"","Uttarakhand","1854","0","33.3","20.4","-0.9","75"
"","HP","1305","0","24.5","18.1","0.0","102"
"","J&K","2082","520","42.3","37.6","-1.2","116"
"","Chandigarh","186","0","3.0","3.3","-0.2","5"
"WR","Chhattisgarh","3226","0","70.9","20.5","-0.8","240"
"","Gujarat","12693","0","272.8","71.8","0.5","480"
"","MP","9163","0","177.4","99.8","-1.4","188"
"","Maharashtra","19736","0","416.5","152.5","0.8","542"
"","Goa","401","0","8.1","8.0","-0.3","71"
"","DD","282","0","6.5","6.2","0.3","38"
"","DNH","712","0","16.5","16.7","-0.1","17"
"","Essar steel","743","0","9.4","7.6","1.8","261"
"SR","Andhra Pradesh","7020","0","154.3","12.9","3.2","454"
"","Telangana","8004","0","160.6","71.6","-1.2","246"
"","Karnataka","9008","0","197.1","75.7","1.8","392"
"","Kerala","3208","0","61.3","53.9","1.8","171"
"","Tamil Nadu","12044","0","261.3","133.0","0.0","543"
"","Pondy","269","0","5.5","5.8","-0.3","30"
"ER","Bihar","3421","0","63.7","58.6","4.1","180"
"","DVC","2871","0","63.2","-37.0","-1.5","250"
"","Jharkhand","1060","0","21.2","15.9","1.2","100"
"","Odisha","3532","0","68.3","13.5","0.4","250"
"","West Bengal","6324","0","107.2","16.0","0.5","350"
"","Sikkim","96","0","1.3","1.4","-0.1","25"
"NER","Arunachal Pradesh","91","1","2.0","1.8","0.3","19"
"","Assam","1275","81","21.2","16.3","1.9","158"
"","Manipur","157","1","2.1","2.2","-0.2","24"
"","Meghalaya","284","0","5.8","4.6","0.0","26"
"","Mizoram","78","3","1.3","1.1","0.2","17"
"","Nagaland","110","2","1.7","1.7","-0.2","24"
"","Tripura","209","1","3.4","1.9","0.4","31"
