"RegionRegion","States","Max. Demand Met during the day (MW)","Shortage during maximum Demand (MW)","EnergyMet (MU)","DrawalSchedule (MU)","OD(+)/UD(-) (MU)","MaxOD (MW)"
"NR","Punjab","5387","0","108.1","59.1","-1.2","145"
"","Haryana","6355","0","123.9","90.9","3.5","370"
"","Rajasthan","9626","0","204.2","65.5","2.8","444"
"","Delhi","3121","0","55.4","43.5","0.2","246"
"","UP","13657","0","284.8","110.9","0.4","290"
"","Uttarakhand","1693","0","32.0","16.9","0.2","145"
"","HP","1332","73","26.1","19.2","0.1","95"
"","J&K","1967","492","41.4","34.5","-1.0","127"
"","Chandigarh","170","0","2.9","3.2","-0.3","0"
"WR","Chhattisgarh","3553","0","85.4","22.4","-0.8","126"
"","Gujarat","13122","0","289.9","100.8","-0.5","414"
"","MP","9417","0","188.9","108.5","-1.4","153"
"","Maharashtra","20567","0","441.8","156.4","-2.7","473"
"","Goa","409","0","8.7","8.5","-0.3","64"
"","DD","289","0","6.7","6.6","0.1","22"
"","DNH","723","0","16.5","16.8","-0.3","11"
"","Essar steel","397","0","7.8","6.9","0.9","196"
"SR","Andhra Pradesh","7235","0","161.0","24.9","2.2","651"
"","Telangana","8624","0","175.2","77.7","0.0","330"
"","Karnataka","9396","0","211.4","78.1","2.0","316"
"","Kerala","3359","0","63.2","53.4","1.5","229"
"","Tamil Nadu","12044","0","271.0","154.3","-3.8","772"
"","Pondy","285","0","6.0","6.4","-0.4","32"
"ER","Bihar","3699","0","64.4","61.2","-1.4","345"
"","DVC","2685","0","63.6","-28.2","0.7","365"
"","Jharkhand","1093","0","22.1","15.5","0.9","135"
"","Odisha","3803","0","74.5","19.5","2.4","398"
"","West Bengal","6762","29","114.0","22.0","2.5","402"
"","Sikkim","78","0","1.9","1.4","0.4","20"
"NER","Arunachal Pradesh","112","1","1.9","2.0","-0.1","5"
"","Assam","1197","122","19.0","14.2","0.8","24"
"","Manipur","108","2","2.0","2.3","-0.3","2"
"","Meghalaya","282","0","4.4","3.4","-0.2","15"
"","Mizoram","75","1","1.4","1.3","0.0","3"
"","Nagaland","91","0","1.8","1.8","-0.1","7"
"","Tripura","195","5","2.4","2.3","-0.8","11"
