"RegionRegion","States","Max. Demand Met during the day (MW)","Shortage during maximum Demand (MW)","EnergyMet (MU)","DrawalSchedule (MU)","OD(+)/UD(-) (MU)","MaxOD (MW)"
"NR","Punjab","6054","0","124.3","61.7","1.2","158"
"","Haryana","6413","0","125.0","100.1","0.0","453"
"","Rajasthan","8663","0","185.3","66.0","2.1","334"
"","Delhi","4033","0","83.2","63.9","0.4","166"
"","UP","15303","0","320.6","113.5","0.5","403"
"","Uttarakhand","1755","0","35.6","23.0","0.7","149"
"","HP","1317","0","25.9","13.4","1.7","198"
"","J&K","1983","496","41.0","25.6","-0.6","281"
"","Chandigarh","210","0","4.1","4.3","-0.2","12"
"WR","Chhattisgarh","3703","187","92.4","29.7","2.3","261"
"","Gujarat","15094","0","333.5","125.8","-0.4","588"
"","MP","8434","0","178.2","96.3","-3.3","462"
"","Maharashtra","22746","123","501.4","143.7","-1.8","725"
"","Goa","491","0","10.5","9.1","0.8","90"
"","DD","310","0","7.1","7.0","0.1","97"
"","DNH","746","0","17.0","17.3","-0.3","87"
"","Essar steel","536","0","11.2","10.4","0.8","150"
"SR","Andhra Pradesh","7467","0","167.0","15.4","2.9","553"
"","Telangana","8879","0","184.8","85.3","0.9","608"
"","Karnataka","9772","0","219.4","95.9","3.7","814"
"","Kerala","3719","0","75.8","51.9","1.8","336"
"","Tamil Nadu","14311","0","326.6","170.1","4.0","635"
"","Pondy","336","0","7.3","7.6","-0.3","31"
"ER","Bihar","3564","0","66.0","59.5","1.9","220"
"","DVC","2862","0","65.1","-35.8","1.7","240"
"","Jharkhand","1079","0","22.4","17.2","0.3","145"
"","Odisha","4237","0","79.4","23.1","-0.9","285"
"","West Bengal","7802","0","146.2","56.7","-2.0","280"
"","Sikkim","88","0","1.2","2.2","-1.0","21"
"NER","Arunachal Pradesh","104","2","1.9","2.2","-0.3","9"
"","Assam","1300","104","21.1","15.6","2.1","142"
"","Manipur","157","2","2.3","2.5","-0.2","8"
"","Meghalaya","282","0","4.8","2.5","-1.0","33"
"","Mizoram","82","2","1.3","1.4","-0.2","23"
"","Nagaland","94","1","1.8","1.7","-0.1","31"
"","Tripura","190","11","3.2","1.4","-0.4","49"
