"RegionRegion","States","Max. Demand Met during the day (MW)","Shortage during maximum Demand (MW)","Energy Met (MU)","Drawal Schedule (MU)","OD(+)/UD(-) (MU)","Max OD (MW)","Energy Shortage (MU)"
"NR","Punjab","9486","0","211.9","101.5","0.4","228","0.0"
"","Haryana","8669","240","187.4","119.9","0.9","193","0.1"
"","Rajasthan","8747","2028","189.9","77.5","3.6","382","13.0"
"","Delhi","5453","0","115.8","86.3","-0.9","181","0.0"
"","UP","17604","2295","389.6","199.7","2.7","747","20.7"
"","Uttarakhand","2026","0","42.4","13.2","1.0","230","0.1"
"","HP","1356","0","27.5","8.2","1.2","201","0.0"
"","J&K","2249","562","41.8","22.1","3.1","350","9.9"
"","Chandigarh","287","0","5.6","5.8","-0.2","38","0.0"
"WR","Chhattisgarh","3925","0","92.8","32.7","2.4","241","0.0"
"","Gujarat","14484","0","322.5","47.6","1.0","290","0.0"
"","MP","7777","0","169.8","83.2","0.5","309","0.0"
"","Maharashtra","16677","715","379.2","114.6","-3.5","339","5.9"
"","Goa","416","0","9.3","9.4","-0.3","20","0.0"
"","DD","327","0","7.4","6.4","0.9","86","0.0"
"","DNH","738","0","17.0","16.2","0.8","105","0.0"
"","Essar steel","524","0","9.1","9.4","-0.3","161","0.0"
"SR","Andhra Pradesh","7051","0","150.4","37.8","0.0","365","0.0"
"","Telangana","8077","0","176.5","85.9","-1.5","207","0.0"
"","Karnataka","7375","0","149.3","33.6","1.2","306","0.0"
"","Kerala","3491","0","65.0","40.0","1.5","291","0.0"
"","Tamil Nadu","13550","0","289.6","129.7","1.2","334","0.0"
"","Pondy","332","0","7.2","7.1","0.1","51","0.0"
"ER","Bihar","4413","0","86.4","84.6","-1.5","80","0.0"
"","DVC","2825","0","65.4","-29.4","0.8","250","0.0"
"","Jharkhand","1199","0","24.3","16.9","1.1","130","0.0"
"","Odisha","4195","0","87.3","33.9","-0.6","250","0.0"
"","West Bengal","8498","0","160.5","63.5","0.5","230","0.0"
"","Sikkim","104","0","1.2","1.0","0.1","20","0.0"
"NER","Arunachal Pradesh","116","3","2.3","2.5","-0.2","2","0.0"
"","Assam","1605","151","28.6","20.9","2.9","238","2.1"
"","Manipur","151","2","2.2","2.1","0.1","51","0.0"
"","Meghalaya","262","0","4.8","-1.6","0.6","96","0.0"
"","Mizoram","83","3","1.2","1.3","-0.1","16","0.0"
"","Nagaland","119","2","1.8","1.6","0.0","40","0.0"
"","Tripura","220","10","4.3","4.0","1.0","107","0.2"
