"RegionRegion","States","Max. Demand Met during the day (MW)","Shortage during maximum Demand (MW)","Energy Met (MU)","Drawal Schedule (MU)","OD(+)/UD(-) (MU)","Max OD (MW)","Energy Shortage (MU)"
"NR","Punjab","5486","0","105.9","24.5","-0.8","79","0.0"
"","Haryana","6700","0","125.3","64.2","0.9","199","0.2"
"","Rajasthan","11092","613","219.7","72.7","3.5","406","2.8"
"","Delhi","4205","0","69.3","51.9","-0.7","273","0.0"
"","UP","14246","340","309.2","105.6","1.4","598","6.4"
"","Uttarakhand","2087","0","39.8","29.8","-0.1","207","0.0"
"","HP","1569","0","28.3","22.6","1.3","163","0.0"
"","J&K","2221","555","46.4","44.2","-1.6","27","10.9"
"","Chandigarh","233","0","3.7","4.0","-0.2","10","0.0"
"WR","Chhattisgarh","3406","0","74.4","6.2","-1.5","100","0.0"
"","Gujarat","14612","0","307.9","92.4","3.7","653","0.0"
"","MP","12167","0","227.7","134.1","1.0","401","0.0"
"","Maharashtra","20170","0","415.7","129.7","2.0","414","0.0"
"","Goa","411","0","8.4","8.6","-0.8","63","0.0"
"","DD","335","0","7.4","6.6","0.8","77","0.0"
"","DNH","749","0","17.7","16.7","1.0","95","0.0"
"","Essar steel","497","0","10.8","10.0","0.8","385","0.0"
"SR","Andhra Pradesh","8411","0","172.6","52.6","0.7","385","0.3"
"","Telangana","9333","0","180.6","77.6","-3.2","327","0.3"
"","Karnataka","10347","0","213.5","87.4","0.8","413","0.3"
"","Kerala","3507","0","68.9","53.1","0.8","211","0.1"
"","Tamil Nadu","13794","0","292.4","152.1","5.0","603","0.5"
"","Pondy","332","0","6.5","7.9","-1.4","50","0.0"
"ER","Bihar","3992","0","73.4","70.1","-1.8","30","0.0"
"","DVC","2957","0","70.7","-33.1","-0.5","200","0.0"
"","Jharkhand","995","0","22.8","14.2","1.3","120","0.0"
"","Odisha","4358","0","77.8","31.8","2.7","445","0.0"
"","West Bengal","6656","0","113.9","23.4","0.3","150","0.0"
"","Sikkim","112","0","1.8","2.0","-0.2","7","0.0"
"NER","Arunachal Pradesh","119","4","2.3","1.9","0.4","56","0.1"
"","Assam","1441","23","24.0","19.6","1.7","172","0.3"
"","Manipur","192","4","2.7","2.9","-0.2","23","0.0"
"","Meghalaya","315","0","6.4","3.8","-0.2","45","0.0"
"","Mizoram","90","3","1.8","1.1","0.0","26","0.0"
"","Nagaland","127","6","2.2","1.8","0.2","21","0.0"
"","Tripura","224","3","3.7","1.7","0.1","29","0.0"
