"RegionRegion","States","Max. Demand Met during the day (MW)","Shortage during maximum Demand (MW)","Energy Met (MU)","Drawal Schedule (MU)","OD(+)/UD(-) (MU)","Max OD (MW)","Energy Shortage (MU)"
"NR","Punjab","5005","0","104.7","35.6","0.1","114","0.0"
"","Haryana","6520","0","118.5","61.7","1.8","192","1.0"
"","Rajasthan","11204","0","208.8","75.9","0.8","415","0.0"
"","Delhi","3682","0","59.7","42.4","0.1","194","0.1"
"","UP","13685","110","291.5","99.2","1.2","804","0.0"
"","Uttarakhand","1945","0","34.2","26.4","-0.1","102","0.0"
"","HP","1309","0","25.3","21.5","0.1","141","0.0"
"","J&K","1980","495","40.8","39.8","-2.9","53","9.6"
"","Chandigarh","190","0","3.0","3.0","0.0","20","0.0"
"WR","Chhattisgarh","3301","0","73.3","7.2","-2.3","65","0.0"
"","Gujarat","13649","0","288.4","128.5","1.7","361","0.0"
"","MP","11070","0","212.7","113.3","-2.6","393","0.0"
"","Maharashtra","20379","0","412.4","133.9","0.0","634","0.0"
"","Goa","485","0","9.6","8.0","0.9","107","0.0"
"","DD","290","0","6.8","6.4","0.3","56","0.0"
"","DNH","729","0","17.2","16.7","0.6","60","0.0"
"","Essar steel","521","0","9.7","9.9","-0.2","161","0.0"
"SR","Andhra Pradesh","8410","0","163.1","46.0","-0.9","407","0.0"
"","Telangana","8838","0","180.7","79.1","-0.3","537","0.0"
"","Karnataka","9278","0","190.5","85.8","-3.4","409","0.0"
"","Kerala","3135","0","60.6","52.3","0.8","212","0.0"
"","Tamil Nadu","12437","0","261.2","146.0","-0.1","427","0.0"
"","Pondy","279","0","5.8","6.7","-0.9","12","0.0"
"ER","Bihar","3917","0","64.9","66.3","-2.6","210","0.3"
"","DVC","3001","0","67.5","-42.9","-1.3","324","0.0"
"","Jharkhand","1115","0","26.0","13.5","0.0","100","0.2"
"","Odisha","4133","0","78.4","20.6","6.2","360","0.0"
"","West Bengal","5879","0","113.3","17.1","4.8","480","0.0"
"","Sikkim","89","0","1.7","1.5","0.2","25","0.0"
"NER","Arunachal Pradesh","120","2","2.4","2.1","0.3","44","0.0"
"","Assam","1338","21","23.4","20.0","1.1","104","0.3"
"","Manipur","174","0","2.5","2.9","-0.4","17","0.0"
"","Meghalaya","292","0","5.3","4.4","-0.3","38","0.0"
"","Mizoram","90","2","1.7","1.1","-0.3","24","0.0"
"","Nagaland","112","4","2.0","2.0","-0.1","40","0.0"
"","Tripura","215","0","3.6","2.3","0.5","43","0.0"
