"RegionRegion","States","Max. Demand Met during the day (MW)","Shortage during maximum Demand (MW)","Energy Met (MU)","Drawal Schedule (MU)","OD(+)/UD(-) (MU)","Max OD (MW)","Energy Shortage (MU)"
"NR","Punjab","5219","0","117.0","57.1","-1.0","118","0.0"
"","Haryana","5982","144","117.2","48.0","1.5","312","0.1"
"","Rajasthan","8331","0","185.0","57.4","1.5","548","0.0"
"","Delhi","3983","6","82.0","64.7","-2.7","54","0.0"
"","UP","13598","595","262.1","86.2","2.0","711","0.0"
"","Uttarakhand","1782","0","33.2","19.8","0.1","110","0.0"
"","HP","1377","0","29.8","17.0","0.2","102","0.0"
"","J&K","2086","490","42.4","34.2","-1.5","211","9.9"
"","Chandigarh","203","0","4.1","4.3","-0.3","15","0.0"
"WR","Chhattisgarh","3581","0","86.2","17.0","-1.2","181","0.0"
"","Gujarat","15665","0","351.2","182.9","4.7","456","0.0"
"","MP","8384","0","182.3","83.2","-0.8","249","0.0"
"","Maharashtra","23006","0","490.6","158.6","2.9","376","0.0"
"","Goa","498","0","11.5","10.8","0.0","28","0.0"
"","DD","324","0","7.3","6.6","0.7","59","0.0"
"","DNH","776","0","17.9","17.1","0.8","176","0.0"
"","Essar steel","282","0","5.2","5.4","-0.2","161","0.0"
"SR","Andhra Pradesh","8450","0","179.2","70.5","0.9","513","0.0"
"","Telangana","8445","0","176.5","76.2","-1.0","328","0.0"
"","Karnataka","10075","0","229.2","90.1","0.2","435","0.0"
"","Kerala","3834","0","79.2","53.8","1.4","210","0.0"
"","Tamil Nadu","15163","0","339.3","176.1","0.4","405","0.0"
"","Pondy","384","0","8.1","8.3","-0.2","35","0.0"
"ER","Bihar","4074","0","76.0","74.1","-0.9","400","0.0"
"","DVC","3049","0","65.0","-58.4","-0.8","220","0.0"
"","Jharkhand","1007","0","20.2","12.7","-1.1","70","0.0"
"","Odisha","3907","0","71.2","19.9","-1.0","330","0.0"
"","West Bengal","7630","0","138.5","25.5","-0.3","110","0.0"
"","Sikkim","94","0","1.5","1.3","0.2","20","0.0"
"NER","Arunachal Pradesh","115","6","2.1","1.5","0.6","65","0.0"
"","Assam","1498","45","24.8","20.6","1.1","95","1.5"
"","Manipur","170","3","2.2","2.4","-0.2","24","0.1"
"","Meghalaya","277","0","4.4","2.7","-0.4","45","0.0"
"","Mizoram","83","1","1.5","1.1","0.3","10","0.1"
"","Nagaland","123","6","1.9","1.8","0.1","30","0.1"
"","Tripura","251","0","4.0","3.0","0.7","50","0.0"
