"RegionRegion","States","Max. Demand Met during the day (MW)","Shortage during maximum Demand (MW)","Energy Met (MU)","Drawal Schedule (MU)","OD(+)/UD(-) (MU)","Max OD (MW)","Energy Shortage (MU)"
"NR","Punjab","6046","0","124.7","53.6","-0.6","117","0.0"
"","Haryana","6559","0","127.8","58.6","2.7","276","0.1"
"","Rajasthan","8957","0","198.8","79.3","0.3","565","0.0"
"","Delhi","4628","0","95.0","73.0","-0.6","64","0.0"
"","UP","15991","0","327.9","110.7","3.3","892","0.0"
"","Uttarakhand","1898","0","37.0","21.5","1.3","214","0.0"
"","HP","1365","0","24.9","16.6","1.5","276","0.0"
"","J&K","2400","600","44.5","32.3","2.5","952","10.5"
"","Chandigarh","215","0","4.3","4.2","0.1","36","0.0"
"WR","Chhattisgarh","3836","0","88.6","25.4","-0.7","398","0.0"
"","Gujarat","15469","0","350.6","162.4","5.9","601","0.0"
"","MP","8693","0","190.4","93.9","-1.1","293","0.0"
"","Maharashtra","23032","0","504.7","141.3","-1.8","307","0.0"
"","Goa","517","0","12.0","11.0","0.3","45","0.0"
"","DD","324","0","7.3","6.8","0.6","64","0.0"
"","DNH","754","0","17.3","16.3","1.0","117","0.0"
"","Essar steel","221","0","3.9","3.7","0.2","150","0.0"
"SR","Andhra Pradesh","8881","0","184.0","64.9","0.9","669","0.0"
"","Telangana","8310","0","181.9","71.9","0.1","329","0.0"
"","Karnataka","9862","0","221.4","74.8","-2.4","393","0.0"
"","Kerala","3680","0","77.8","50.2","1.5","224","0.0"
"","Tamil Nadu","15365","0","351.0","176.7","0.8","433","0.0"
"","Pondy","374","0","7.9","8.2","-0.3","26","0.0"
"ER","Bihar","4471","0","80.5","83.5","-4.3","80","0.0"
"","DVC","3134","0","71.1","-54.6","-0.3","335","0.0"
"","Jharkhand","1102","0","23.3","15.6","2.1","180","0.0"
"","Odisha","4442","0","87.6","29.3","0.9","280","0.0"
"","West Bengal","8383","0","166.1","45.4","3.2","416","0.0"
"","Sikkim","101","0","1.4","1.6","-0.2","6","0.0"
"NER","Arunachal Pradesh","113","6","2.1","1.4","0.7","44","0.0"
"","Assam","1474","50","21.2","17.0","1.4","98","1.0"
"","Manipur","161","5","1.6","2.0","-0.5","24","0.0"
"","Meghalaya","295","1","5.1","2.8","-0.1","18","0.0"
"","Mizoram","82","4","1.4","0.9","0.2","20","0.0"
"","Nagaland","119","5","2.0","1.6","0.2","32","0.0"
"","Tripura","207","12","2.3","2.5","0.4","45","0.4"
