"RegionRegion","States","Max. Demand Met during the day (MW)","Shortage during maximum Demand (MW)","Energy Met (MU)","Drawal Schedule (MU)","OD(+)/UD(-) (MU)","Max OD (MW)","Energy Shortage (MU)"
"NR","Punjab","6206","0","128.4","67.4","-0.3","117","0.0"
"","Haryana","6566","0","122.6","70.9","2.3","512","0.0"
"","Rajasthan","8994","0","196.1","73.7","2.3","636","0.0"
"","Delhi","4552","0","93.7","78.5","-2.5","148","0.0"
"","UP","14423","0","252.2","119.4","-12.1","869","0.0"
"","Uttarakhand","1610","0","30.6","13.4","-4.1","44","0.0"
"","HP","1253","22","23.5","9.5","0.4","87","0.3"
"","J&K","2195","549","37.8","20.9","-4.4","195","9.1"
"","Chandigarh","223","0","4.4","5.1","-0.7","40","0.0"
"WR","Chhattisgarh","3535","0","75.5","11.9","-1.2","190","0.0"
"","Gujarat","15561","0","351.0","174.5","8.1","513","0.0"
"","MP","8254","0","169.5","72.5","-0.6","555","0.0"
"","Maharashtra","23172","0","504.4","144.3","5.8","866","0.0"
"","Goa","502","0","11.4","10.7","0.2","67","0.0"
"","DD","333","0","7.4","7.0","0.5","61","0.0"
"","DNH","738","0","17.2","17.1","0.1","47","0.0"
"","Essar steel","322","0","5.9","6.0","-0.1","150","0.0"
"SR","Andhra Pradesh","7104","0","150.6","36.4","0.9","697","0.0"
"","Telangana","7034","0","128.4","47.7","-5.5","729","0.0"
"","Karnataka","9778","0","196.9","74.7","-3.2","606","0.0"
"","Kerala","4029","0","75.0","53.2","1.4","213","0.0"
"","Tamil Nadu","14754","0","323.5","160.4","4.8","1129","0.0"
"","Pondy","380","0","8.1","8.4","-0.3","38","0.0"
"ER","Bihar","4480","0","74.7","74.3","-0.7","365","0.0"
"","DVC","3091","0","67.2","-44.3","0.8","402","0.0"
"","Jharkhand","1085","0","19.5","15.5","-1.1","145","0.0"
"","Odisha","4308","0","77.6","36.4","1.5","345","0.0"
"","West Bengal","8022","0","139.3","24.2","3.3","412","0.0"
"","Sikkim","96","0","1.4","1.5","-0.2","20","0.0"
"NER","Arunachal Pradesh","119","0","2.2","2.4","-0.2","26","0.0"
"","Assam","1392","108","21.7","18.4","0.4","106","1.1"
"","Manipur","154","1","2.0","2.5","-0.5","27","0.0"
"","Meghalaya","266","0","4.6","2.9","-0.1","36","0.0"
"","Mizoram","85","0","1.5","1.5","-0.4","1","0.0"
"","Nagaland","110","2","1.8","2.1","-0.4","27","0.0"
"","Tripura","202","10","2.5","2.9","-0.8","74","0.3"
