"Region","States","Max. Demand Met during the day (MW)","Shortage during maximum Demand (MW)","Energy Met (MU)","Drawal Schedule (MU)","OD(+)/UD(-) (MU)","Max OD (MW)","Energy Shortage (MU)"
"NR","Punjab","10599","0","234.0","132.3","-1.4","223","0.0"
"","Haryana","8927","0","195.6","149.2","1.3","290","0.1"
"","Rajasthan","8495","0","189.5","70.4","0.7","445","0.0"
"","Delhi","5663","0","119.2","97.5","-2.4","69","0.1"
"","UP","18639","0","413.8","194.4","2.0","368","0.0"
"","Uttarakhand","1750","150","39.4","24.1","3.2","362","3.3"
"","HP","1437","0","28.4","0.5","5.0","410","0.0"
"","J&K","2148","537","43.4","18.1","-0.3","122","10.3"
"","Chandigarh","275","0","5.8","6.5","-0.7","10","0.0"
"WR","Chhattisgarh","3251","0","73.6","12.4","-1.8","212","0.0"
"","Gujarat","12509","0","274.1","80.4","4.7","691","0.0"
"","MP","7579","0","170.2","89.0","2.3","559","0.0"
"","Maharashtra","16980","0","373.7","95.9","-5.7","734","0.0"
"","Goa","351","0","9.1","9.1","-0.7","19","0.0"
"","DD","321","0","7.0","6.2","0.8","85","0.0"
"","DNH","747","0","17.1","16.7","0.4","63","0.0"
"","Essar steel","538","0","11.1","11.4","-0.3","289","0.0"
"SR","Andhra Pradesh","6804","0","150.8","6.0","1.0","442","0.0"
"","Telangana","7536","0","150.4","83.9","-0.2","483","0.0"
"","Karnataka","7988","0","157.3","36.3","-3.7","373","0.0"
"","Kerala","2809","0","51.7","28.3","0.2","191","0.0"
"","Tamil Nadu","14059","0","297.7","109.9","-0.8","599","0.0"
"","Pondy","383","0","7.8","8.0","-0.2","37","0.0"
"ER","Bihar","4995","0","97.7","94.2","0.6","60","0.0"
"","DVC","3370","0","68.7","-27.0","0.5","270","0.0"
"","Jharkhand","1055","0","23.9","18.7","-0.5","14","0.0"
"","Odisha","3740","0","71.5","31.0","0.4","440","0.0"
"","West Bengal","8518","0","173.0","58.4","2.6","280","0.0"
"","Sikkim","90","0","1.1","1.3","-0.2","0","0.0"
"NER","Arunachal Pradesh","116","5","2.3","2.3","0.0","15","0.0"
"","Assam","1686","81","32.2","25.8","0.5","173","1.1"
"","Manipur","169","4","2.4","2.6","-0.2","33","0.0"
"","Meghalaya","332","0","6.0","0.9","-0.3","25","0.0"
"","Mizoram","86","2","1.6","0.8","0.1","30","0.0"
"","Nagaland","127","2","2.2","2.0","-0.2","6","0.0"
"","Tripura","262","4","4.2","4.5","-0.4","39","0.1"
