"Region","States","Max. Demand Met during the day (MW)","Shortage during maximum Demand (MW)","Energy Met (MU)","Drawal Schedule (MU)","OD(+)/UD(-) (MU)","Max OD (MW)","Energy Shortage (MU)"
"NR","Punjab","8489","0","193.3","122.1","-1.6","92","0.0"
"","Haryana","6833","0","141.6","125.9","0.5","215","0.0"
"","Rajasthan","8046","0","176.3","59.5","0.8","531","0.0"
"","Delhi","4203","0","88.0","67.4","-1.6","73","0.0"
"","UP","15655","0","322.6","141.6","0.2","234","0.0"
"","Uttarakhand","1824","0","38.9","16.1","0.6","205","0.0"
"","HP","1255","0","25.9","-4.3","2.2","215","0.0"
"","J&K","1906","476","38.8","19.0","-3.9","147","9.4"
"","Chandigarh","217","0","4.7","4.9","-0.2","19","0.0"
"WR","Chhattisgarh","3659","125","89.6","17.2","4.7","672","0.3"
"","Gujarat","14164","0","318.7","111.4","2.3","405","0.0"
"","MP","7298","0","155.6","55.1","-0.2","323","0.0"
"","Maharashtra","20618","0","442.1","143.1","1.2","672","0.0"
"","Goa","403","0","11.6","7.6","0.7","71","0.0"
"","DD","316","0","7.3","6.2","1.1","98","0.0"
"","DNH","784","0","18.5","17.4","1.0","114","0.0"
"","Essar steel","568","0","10.4","10.6","-0.2","261","0.0"
"SR","Andhra Pradesh","9346","0","193.3","47.7","4.1","872","0.0"
"","Telangana","10154","0","224.9","102.2","0.4","402","0.0"
"","Karnataka","9012","0","196.1","49.7","3.3","716","0.0"
"","Kerala","3192","225","63.2","32.1","0.9","247","0.9"
"","Tamil Nadu","13007","0","294.7","129.3","5.7","775","0.0"
"","Pondy","339","0","7.5","7.3","0.2","48","0.0"
"ER","Bihar","4763","0","94.7","93.6","0.6","100","0.0"
"","DVC","2955","-1","61.5","-27.8","3.7","450","1.2"
"","Jharkhand","998","0","22.3","18.2","-0.5","70","0.0"
"","Odisha","5046","0","100.1","39.2","-0.1","250","0.0"
"","West Bengal","7975","0","157.4","53.9","4.3","400","0.0"
"","Sikkim","76","0","0.9","1.1","-0.2","0","0.0"
"NER","Arunachal Pradesh","92","2","2.1","2.3","-0.2","30","0.0"
"","Assam","1540","6","31.5","26.9","0.2","92","1.8"
"","Manipur","134","5","1.8","2.5","-0.8","40","0.0"
"","Meghalaya","278","4","5.9","-0.4","0.4","38","0.0"
"","Mizoram","73","2","1.6","1.0","0.2","19","0.0"
"","Nagaland","95","1","2.4","1.8","0.2","24","0.0"
"","Tripura","269","3","4.8","4.3","0.0","47","0.0"
