"Region","States","Max. Demand Met during the day (MW)","Shortage during maximum Demand (MW)","Energy Met (MU)","Drawal Schedule (MU)","OD(+)/UD(-) (MU)","Max OD (MW)","Energy Shortage (MU)"
"NR","Punjab","8517","0","186.9","106.3","-1.2","66","0.0"
"","Haryana","8775","0","182.0","119.7","0.2","129","0.0"
"","Rajasthan","11710","0","260.2","73.9","1.8","527","0.0"
"","Delhi","6507","0","132.7","111.8","0.0","249","0.0"
"","UP","20310","0","439.0","190.5","1.3","948","0.0"
"","Uttarakhand","1992","0","43.0","14.9","-0.5","123","0.0"
"","HP","1263","0","27.0","1.4","-0.5","159","0.0"
"","J&K","2193","387","46.8","30.1","-3.7","83","11.0"
"","Chandigarh","309","0","6.0","7.1","-1.0","51","0.0"
"WR","Chhattisgarh","3887","0","88.5","36.3","-1.0","299","0.0"
"","Gujarat","16987","0","376.2","105.2","4.3","728","0.0"
"","MP","9614","0","215.2","106.1","0.0","446","0.0"
"","Maharashtra","21559","0","489.6","117.5","-4.5","446","0.0"
"","Goa","541","0","12.3","10.1","1.6","83","0.0"
"","DD","313","0","7.1","6.7","0.3","46","0.0"
"","DNH","725","0","16.3","16.4","-0.2","60","0.0"
"","Essar steel","327","0","6.1","6.2","-0.1","278","0.0"
"SR","Andhra Pradesh","9382","0","194.2","56.7","-0.1","876","0.0"
"","Telangana","7567","0","167.0","55.1","0.3","437","0.0"
"","Karnataka","9279","0","184.8","60.0","-0.1","454","0.0"
"","Kerala","3921","0","77.6","60.7","1.3","183","0.0"
"","Tamil Nadu","13757","0","313.7","124.7","-0.5","669","0.0"
"","Pondy","396","0","8.2","8.5","-0.3","46","0.0"
"ER","Bihar","4830","0","88.8","86.5","0.0","700","0.0"
"","DVC","3147","0","66.3","-36.4","0.6","250","0.0"
"","Jharkhand","1000","0","25.1","16.7","-1.0","120","0.0"
"","Odisha","4366","0","85.8","37.6","0.9","400","0.0"
"","West Bengal","8836","0","153.4","35.4","0.5","350","0.0"
"","Sikkim","79","0","0.9","1.1","-0.2","30","0.0"
"NER","Arunachal Pradesh","144","2","2.0","2.3","-0.3","87","0.0"
"","Assam","1613","68","29.8","25.0","0.7","176","1.5"
"","Manipur","167","1","2.3","2.1","0.2","24","0.0"
"","Meghalaya","298","0","5.9","3.3","0.2","126","0.0"
"","Mizoram","75","1","1.7","1.3","0.2","23","0.0"
"","Nagaland","114","2","2.5","2.3","0.0","11","0.0"
"","Tripura","253","2","4.4","4.2","-0.5","54","0.0"
