"Region","States","Max. Demand Met during the day (MW)","Shortage during maximum Demand (MW)","Energy Met (MU)","Drawal Schedule (MU)","OD(+)/UD(-) (MU)","Max OD (MW)","Energy Shortage (MU)"
"NR","Punjab","6587","0","141.1","71.3","-0.8","108","0.0"
"","Haryana","6702","0","142.9","100.6","0.0","268","0.0"
"","Rajasthan","8555","0","185.4","54.7","-3.1","231","0.0"
"","Delhi","3690","0","77.8","63.2","-1.9","32","0.0"
"","UP","16710","0","326.7","124.4","2.4","702","0.0"
"","Uttarakhand","1651","0","34.3","11.3","0.5","119","0.0"
"","HP","1332","0","25.6","9.1","-0.1","105","0.0"
"","J&K","1855","464","39.5","30.1","0.5","449","9.3"
"","Chandigarh","170","0","3.2","3.6","-0.5","13","0.0"
"WR","Chhattisgarh","3721","0","88.0","41.0","1.8","572","0.0"
"","Gujarat","12794","0","290.5","56.4","6.0","447","0.0"
"","MP","7890","0","170.2","88.1","-1.8","257","0.0"
"","Maharashtra","17481","0","392.1","150.3","1.1","418","0.0"
"","Goa","541","0","12.4","10.5","1.3","47","0.0"
"","DD","320","0","7.3","6.8","0.5","41","0.0"
"","DNH","760","0","17.3","17.3","0.0","94","0.0"
"","Essar steel","320","0","6.4","5.7","0.7","315","0.0"
"SR","Andhra Pradesh","7443","0","160.7","83.3","0.3","652","0.0"
"","Telangana","8435","0","174.3","73.0","0.4","463","0.0"
"","Karnataka","6881","0","138.7","32.6","0.6","776","0.0"
"","Kerala","3201","0","64.2","45.4","1.6","216","0.0"
"","Tamil Nadu","12577","0","288.7","139.3","0.3","493","0.0"
"","Pondy","347","0","7.4","7.6","-0.2","43","0.0"
"ER","Bihar","5121","0","93.7","95.7","-4.1","200","0.0"
"","DVC","2800","0","59.7","-10.9","1.0","190","0.0"
"","Jharkhand","1102","0","24.8","16.0","-0.9","100","0.0"
"","Odisha","3859","0","82.1","12.9","7.5","600","0.0"
"","West Bengal","7058","0","143.4","36.1","0.2","300","0.0"
"","Sikkim","63","0","0.7","1.2","-0.5","10","0.0"
"NER","Arunachal Pradesh","126","1","2.2","2.0","-0.1","26","0.0"
"","Assam","1636","13","29.2","22.6","0.3","127","0.2"
"","Manipur","157","2","2.5","2.2","0.3","15","0.0"
"","Meghalaya","293","0","5.2","0.1","-0.1","43","0.0"
"","Mizoram","83","1","1.7","0.3","0.3","57","0.0"
"","Nagaland","129","2","2.2","2.2","-0.2","46","0.0"
"","Tripura","277","2","4.8","4.1","-0.4","70","0.0"
