"Region","States","Max. Demand Met during the day (MW)","Shortage during maximum Demand (MW)","Energy Met (MU)","Drawal Schedule (MU)","OD(+)/UD(-) (MU)","Max OD (MW)","Energy Shortage (MU)"
"NR","Punjab","5282","0","102.7","38.4","-2.1","61","0.0"
"","Haryana","5704","0","114.6","93.2","0.8","235","0.0"
"","Rajasthan","11815","0","220.6","59.7","-1.1","320","0.0"
"","Delhi","3280","0","60.4","49.1","-0.8","264","0.0"
"","UP","14295","0","260.0","118.2","1.3","966","1.7"
"","Uttarakhand","1773","0","34.7","22.4","0.5","104","0.0"
"","HP","1524","0","28.2","19.9","-0.4","98","0.0"
"","J&K","2067","517","43.0","37.4","0.2","201","10.2"
"","Chandigarh","190","0","3.3","3.3","0.0","21","0.0"
"WR","Chhattisgarh","3370","0","71.2","25.9","-0.6","285","0.0"
"","Gujarat","15608","0","331.3","92.6","1.2","562","0.0"
"","MP","12522","0","245.0","147.9","-1.1","419","0.0"
"","Maharashtra","20036","0","431.0","134.1","-2.5","591","0.0"
"","Goa","541","0","13.0","12.3","0.1","104","0.0"
"","DD","330","0","7.4","6.7","0.7","55","0.0"
"","DNH","787","0","18.3","18.3","0.0","53","0.0"
"","Essar steel","306","0","5.8","5.3","0.5","295","0.0"
"SR","Andhra Pradesh","8000","0","169.3","68.9","-0.3","461","0.0"
"","Telangana","8414","0","177.5","63.9","-0.8","367","0.0"
"","Karnataka","10104","0","188.0","40.6","0.7","567","0.0"
"","Kerala","3446","0","72.0","47.7","2.1","237","0.0"
"","Tamil Nadu","11809","0","267.5","154.8","0.7","584","0.0"
"","Pondy","352","0","6.9","7.4","-0.5","29","0.0"
"ER","Bihar","4075","0","67.6","64.1","-0.5","300","0.0"
"","DVC","3047","0","61.4","-34.3","0.9","200","0.0"
"","Jharkhand","1245","0","24.6","18.0","-1.2","31","0.0"
"","Odisha","4016","0","73.8","8.6","0.0","200","0.0"
"","West Bengal","6365","0","113.9","32.8","0.4","150","0.0"
"","Sikkim","125","0","1.9","1.6","0.3","40","0.0"
"NER","Arunachal Pradesh","109","2","2.1","2.0","-0.1","33","0.0"
"","Assam","1366","21","23.3","17.6","0.2","93","1.0"
"","Manipur","186","1","2.5","2.5","-0.1","26","0.0"
"","Meghalaya","372","0","6.2","3.0","0.4","52","0.0"
"","Mizoram","99","0","1.8","0.5","0.3","25","0.0"
"","Nagaland","124","2","2.1","2.0","-0.2","18","0.0"
"","Tripura","219","1","3.6","2.0","-0.4","43","0.0"
