"Region","States","Max. Demand Met during the day (MW)","Shortage during maximum Demand (MW)","Energy Met (MU)","Drawal Schedule (MU)","OD(+)/UD(-) (MU)","Max OD (MW)","Energy Shortage (MU)"
"NR","Punjab","5321","0","108.5","51.6","-1.3","90","0.0"
"","Haryana","5267","0","109.0","92.6","1.3","302","0.0"
"","Rajasthan","12149","0","219.8","64.4","-1.4","376","0.0"
"","Delhi","3548","0","59.3","48.4","-0.8","158","0.0"
"","UP","13344","0","242.3","100.9","1.7","587","0.0"
"","Uttarakhand","1781","0","32.1","15.8","-0.4","102","0.0"
"","HP","1521","0","26.4","19.4","-0.6","117","0.0"
"","J&K","2411","603","45.4","39.6","-0.6","201","10.7"
"","Chandigarh","192","0","3.1","3.2","-0.1","23","0.0"
"WR","Chhattisgarh","3388","0","73.0","15.5","-1.1","242","0.0"
"","Gujarat","14968","0","312.0","86.3","-1.4","738","0.0"
"","MP","13561","0","252.3","146.4","-4.4","419","0.0"
"","Maharashtra","20562","0","421.6","134.7","-5.2","476","0.0"
"","Goa","541","0","12.3","10.8","0.9","54","0.0"
"","DD","293","0","6.7","6.1","0.6","41","0.0"
"","DNH","767","0","18.2","18.2","0.0","80","0.0"
"","Essar steel","306","0","5.7","5.3","0.4","295","0.0"
"SR","Andhra Pradesh","7139","-21","150.3","75.9","-0.8","462","0.0"
"","Telangana","8409","0","175.6","78.8","1.5","478","0.0"
"","Karnataka","9168","-11","169.7","45.8","2.2","835","0.0"
"","Kerala","3305","0","64.7","52.8","1.3","194","0.0"
"","Tamil Nadu","10634","0","229.0","127.2","0.2","1167","0.0"
"","Pondy","302","0","6.2","6.4","-0.2","46","0.0"
"ER","Bihar","3951","0","67.6","66.6","-0.4","350","0.0"
"","DVC","2921","0","60.3","-25.8","1.8","340","0.0"
"","Jharkhand","1161","0","24.3","16.1","-0.4","31","0.0"
"","Odisha","3888","0","73.8","8.0","1.3","290","0.0"
"","West Bengal","5549","0","107.6","21.7","0.9","320","0.0"
"","Sikkim","100","0","1.4","1.3","0.1","20","0.0"
"NER","Arunachal Pradesh","118","2","2.1","2.0","-0.1","72","0.0"
"","Assam","1272","22","21.1","15.9","0.2","123","0.3"
"","Manipur","188","3","2.5","2.8","-0.3","26","0.0"
"","Meghalaya","337","0","6.1","2.9","0.5","68","0.0"
"","Mizoram","98","1","1.7","0.9","0.2","20","0.0"
"","Nagaland","119","2","2.2","2.2","-0.2","8","0.0"
"","Tripura","215","0","3.5","2.0","-0.1","38","0.0"
