"Region","States","Max. Demand Met during the day (MW)","Shortage during maximum Demand (MW)","Energy Met (MU)","Drawal Schedule (MU)","OD(+)/UD(-) (MU)","Max OD (MW)","Energy Shortage (MU)"
"NR","Punjab","5310","0","105.7","66.2","-1.6","163","0.0"
"","Haryana","6032","0","107.8","74.7","0.7","429","0.0"
"","Rajasthan","13730","0","248.9","63.2","-0.9","353","0.0"
"","Delhi","4141","0","64.3","49.1","-1.4","162","0.0"
"","UP","13034","0","234.2","92.1","-2.0","612","0.0"
"","Uttarakhand","1738","0","32.8","14.6","-1.0","214","0.0"
"","HP","1544","0","26.2","19.3","-0.5","192","0.0"
"","J&K(UT) and Ladakh(UT)","2499","625","50.2","43.9","0.2","229","11.9"
"","Chandigarh","224","0","3.4","3.2","0.1","39","0.0"
"WR","Chhattisgarh","4026","0","88.7","43.0","0.2","277","0.0"
"","Gujarat","15652","0","334.7","92.6","3.7","552","0.0"
"","MP","14184","0","264.2","138.4","-3.8","668","0.0"
"","Maharashtra","23511","0","491.7","149.8","-1.5","433","0.0"
"","Goa","477","0","10.6","10.4","-0.3","29","0.0"
"","DD","309","0","5.9","5.6","0.3","55","0.0"
"","DNH","785","0","18.4","18.3","0.1","56","0.0"
"","Essar steel","773","0","10.8","10.2","0.6","259","0.0"
"SR","Andhra Pradesh","9936","0","194.6","66.6","-0.3","349","0.0"
"","Telangana","12743","0","254.3","141.2","0.4","576","0.0"
"","Karnataka","13001","0","243.4","82.9","-1.6","509","0.0"
"","Kerala","3609","0","74.7","56.3","1.5","224","0.0"
"","Tamil Nadu","14508","0","314.8","163.1","-0.1","531","0.0"
"","Pondy","375","0","7.7","7.9","-0.3","34","0.0"
"ER","Bihar","4042","0","76.2","74.6","-0.1","380","0.0"
"","DVC","3121","0","66.2","-33.4","-0.4","235","0.0"
"","Jharkhand","1243","0","24.5","20.0","-1.0","103","0.0"
"","Odisha","3636","0","71.5","2.5","-1.2","223","0.0"
"","West Bengal","6754","0","130.0","28.9","-0.9","337","0.0"
"","Sikkim","129","0","1.8","1.8","0.0","36","0.0"
"NER","Arunachal Pradesh","119","1","2.1","2.0","-0.1","92","0.0"
"","Assam","1359","35","22.9","19.9","0.1","93","0.7"
"","Manipur","199","1","2.8","2.8","0.0","24","0.0"
"","Meghalaya","361","0","6.1","5.0","0.1","54","0.2"
"","Mizoram","91","1","1.6","1.5","0.0","14","0.0"
"","Nagaland","129","1","2.1","2.0","0.0","52","0.0"
"","Tripura","223","0","3.4","1.8","-0.2","40","0.0"
