"Region","States","Max.DemandMet during the day(MW)","Shortage duringmaximum Demand(MW)","Energy Met(MU)","DrawalSchedule(MU)","OD(+)/UD(-)(MU)","Max OD(MW)","EnergyShortage (MU)"
"NR","Punjab","4003","0","77.7","57.7","-0.3","140","0.0"
"","Haryana","4538","0","79.3","77.1","-0.1","188","0.0"
"","Rajasthan","8272","0","158.3","60.7","-0.1","401","0.0"
"","Delhi","2384","0","50.1","40.9","-1.9","18","0.0"
"","UP","15326","0","265.9","128.4","1.0","1098","0.0"
"","Uttarakhand","1077","0","20.1","7.2","0.0","83","0.0"
"","HP","803","0","13.0","1.2","-0.5","62","0.0"
"","J&K(UT) & Ladakh(UT)","2229","557","43.7","33.9","1.0","350","10.3"
"","Chandigarh","129","0","2.3","2.4","-0.1","15","0.0"
"WR","Chhattisgarh","3324","0","76.0","22.2","-1.3","152","0.0"
"","Gujarat","11010","0","247.4","79.8","0.6","441","0.0"
"","MP","8876","0","176.4","109.2","-0.6","569","0.0"
"","Maharashtra","17647","0","387.1","156.5","-0.5","485","0.0"
"","Goa","361","0","6.9","7.0","-0.1","39","0.0"
"","DD","88","0","1.9","1.9","0.0","28","0.0"
"","DNH","97","0","2.2","2.2","0.0","51","0.0"
"","Essar steel","3513","0","0.7","0.5","0.2","115","0.0"
"SR","Andhra Pradesh","7345","0","148.7","76.1","-0.2","446","0.0"
"","Telangana","8064","0","168.9","79.1","1.1","520","0.0"
"","Karnataka","9856","0","197.1","60.0","-0.4","526","0.0"
"","Kerala","3558","0","66.8","51.2","1.0","201","0.0"
"","Tamil Nadu","10046","0","222.7","161.1","-0.1","470","0.0"
"","Puducherry","239","0","4.7","5.2","-0.5","40","0.0"
"ER","Bihar","4520","0","84.3","84.8","-1.6","25","0.0"
"","DVC","1461","0","29.4","-27.5","0.4","280","0.0"
"","Jharkhand","1230","0","22.6","19.4","-0.3","243","0.0"
"","Odisha","3475","0","70.5","-5.4","-0.1","283","0.0"
"","West Bengal","6663","0","142.5","43.3","2.2","491","0.0"
"","Sikkim","88","0","1.2","1.4","-0.2","10","0.0"
"NER","Arunachal Pradesh","103","2","1.7","1.1","0.6","42","0.0"
"","Assam","1092","86","17.5","14.6","0.1","105","1.2"
"","Manipur","174","8","2.1","2.3","-0.1","29","0.0"
"","Meghalaya","226","5","3.7","3.4","-0.3","31","0.1"
"","Mizoram","105","4","1.5","1.4","-0.2","28","0.0"
"","Nagaland","109","5","2.1","2.0","0.0","8","0.0"
"","Tripura","240","13","3.9","3.2","0.0","49","0.2"
