"RegionRegion","States","Max. Demand Met during the day (MW)","Peak hourShortage (MW)","EnergyMet (MU)","DrawalSchedule (MU)","OD(+)/UD(-) (MU)","MaxOD (MW)"
"NR","Punjab","5025","0","101.7","53.0","-1.2","178"
"","Haryana","5333","0","105.0","51.7","-2.6","77"
"","Rajasthan","6295","0","144.9","54.1","-0.5","125"
"","Delhi","3570","0","79.2","51.3","-1.7","227"
"","UP","10299","1500","225.6","91.4","-3.1","197"
"","Uttarakhand","1637","0","33.6","20.2","-0.6","51"
"","HP","1188","0","23.8","13.2","-1.5","78"
"","J&K","1527","100","29.6","21.6","-3.3","41"
"","Chandigarh","206","0","4.2","4.6","-0.4","11"
"WR","Chhattisgarh","3223","61","72.4","21.7","1.0","391"
"","Gujarat","12001","40","269.4","40.1","-0.7","741"
"","MP","7165","10","142.0","68.6","-3.3","191"
"","Maharashtra","16479","483","362.8","125.7","3.9","753"
"","Goa","452","51","8.5","6.9","1.3","135"
"","DD","257","0","6.2","6.1","0.1","19"
"","DNH","605","1","14.4","14.1","0.2","23"
"SR","Andhra Pradesh","10870","1750","242.6","68.5","1.9","233"
"","Karnataka","7179","750","156.3","26.1","1.4","796"
"","Kerala","2696","500","58.3","30.2","2.4","307"
"","Tamil Nadu","10775","1924","231.7","76.7","2.1","438"
"","Pondy","319","0","6.4","7.4","-1.0","21"
"ER","Bihar","1792","70","37.9","38.1","-0.3","230"
"","DVC","2730","0","62.9","-26.9","1.4","320"
"","Jharkhand","988","0","21.0","9.7","0.5","160"
"","Odisha","3645","0","69.9","9.0","-0.5","280"
"","West Bengal","6630","14","138.7","39.6","-0.7","451"
"","Sikkim","69","0","1.5","1.5","0.0","18"
"NER","Arunachal Pradesh","91","4","1.0","1.0","0.0","42"
"","Assam","942","198","16.3","11.4","0.4","115"
"","Manipur","86","6","1.1","1.0","0.1","36"
"","Meghalaya","210","35","3.3","2.1","0.5","84"
"","Mizoram","54","3","1.0","0.8","0.2","11"
"","Nagaland","73","7","1.2","1.2","0.0","20"
"","Tripura","201","7","3.0","0.9","0.2","42"
