"RegionRegion","States","Max. Demand Met during the day (MW)","Peak hourShortage (MW)","EnergyMet (MU)","DrawalSchedule (MU)","OD(+)/UD(-) (MU)","MaxOD (MW)"
"NR","Punjab","4518","0","92.0","49.7","0.8","143"
"","Haryana","5096","261","97.2","59.6","1.4","233"
"","Rajasthan","6654","0","142.7","42.0","-1.7","195"
"","Delhi","3484","0","70.7","55.7","-0.8","169"
"","UP","10925","1955","244.5","103.6","2.2","323"
"","Uttarakhand","1562","75","31.6","21.5","1.1","88"
"","HP","1255","0","23.8","11.5","0.6","113"
"","J&K","1637","100","33.1","19.9","-1.0","95"
"","Chandigarh","193","0","3.7","3.3","0.4","36"
"WR","Chhattisgarh","3475","58","79.5","21.5","-0.5","197"
"","Gujarat","12571","16","257.4","53.3","0.1","390"
"","MP","6689","15","138.7","71.8","-1.1","337"
"","Maharashtra","18293","283","397.5","129.0","3.6","509"
"","Goa","422","1","9.2","8.5","0.3","62"
"","DD","264","1","5.8","5.9","-0.2","24"
"","DNH","671","2","15.3","15.2","0.1","42"
"","Essar steel","391","1","8.2","8.9","-0.7","29"
"SR","Andhra Pradesh","11307","1000","261.0","90.8","2.7","382"
"","Karnataka","8801","300","181.6","29.6","2.5","266"
"","Kerala","3262","75","65.6","25.2","2.0","274"
"","Tamil Nadu","12369","1345","274.4","93.4","1.3","299"
"","Pondy","321","0","6.6","6.7","-0.1","22"
"ER","Bihar","2432","200","48.8","45.2","0.2","250"
"","DVC","2495","0","57.0","-17.2","-1.2","375"
"","Jharkhand","861","34","20.4","10.8","0.5","175"
"","Odisha","3711","0","72.1","20.3","-0.9","395"
"","West Bengal","7264","53","143.5","47.4","-0.1","345"
"","Sikkim","104","0","1.2","1.5","-0.3","30"
"NER","Arunachal Pradesh","104","1","1.6","1.1","0.5","48"
"","Assam","1120","205","20.6","12.0","4.2","219"
"","Manipur","100","5","1.6","1.3","0.3","38"
"","Meghalaya","240","5","3.9","3.0","0.3","43"
"","Mizoram","72","2","1.0","0.9","-0.1","20"
"","Nagaland","92","3","1.6","1.4","-0.1","32"
"","Tripura","225","11","2.9","1.1","-0.5","60"
