"RegionRegion","States","Max. Demand Met during the day (MW)","Peak hourShortage (MW)","EnergyMet (MU)","DrawalSchedule (MU)","OD(+)/UD(-) (MU)","MaxOD (MW)"
"NR","Punjab","6088","0","118.3","68.8","-0.9","84"
"","Haryana","6184","288","125.5","85.7","1.9","189"
"","Rajasthan","7853","0","176.3","49.9","1.1","306"
"","Delhi","4364","0","91.8","73.0","-2.0","183"
"","UP","11420","1935","254.9","109.1","2.4","429"
"","Uttarakhand","1663","75","36.4","22.6","0.7","130"
"","HP","1215","0","24.9","7.6","0.2","131"
"","J&K","1540","100","30.0","17.3","-0.9","184"
"","Chandigarh","263","0","5.1","4.5","0.6","58"
"WR","Chhattisgarh","3018","62","70.3","19.7","-0.5","426"
"","Gujarat","12772","32","280.0","41.3","1.6","436"
"","MP","6592","427","146.1","80.2","3.0","1287"
"","Maharashtra","19029","675","413.3","127.6","3.5","39"
"","Goa","423","2","7.3","9.1","-2.2","18"
"","DD","266","1","5.7","6.0","-0.3","15"
"","DNH","657","3","15.2","15.2","0.0","0"
"","Essar steel","467","2","9.8","10.4","-0.6","11"
"SR","Andhra Pradesh","10471","1500","237.1","83.3","-0.7","396"
"","Karnataka","7676","400","157.6","23.9","0.2","465"
"","Kerala","3347","150","64.4","30.5","1.4","252"
"","Tamil Nadu","11969","766","273.7","85.6","0.1","349"
"","Pondy","325","0","6.7","7.0","-0.2","34"
"ER","Bihar","2214","150","46.1","44.2","-0.7","80"
"","DVC","2403","150","55.7","-13.9","-1.0","180"
"","Jharkhand","949","0","19.5","9.7","-0.4","40"
"","Odisha","3851","150","78.9","19.3","-1.7","200"
"","West Bengal","7225","9","149.7","43.8","2.0","420"
"","Sikkim","65","0","1.0","1.2","-0.2","15"
"NER","Arunachal Pradesh","97","8","1.2","1.0","0.2","52"
"","Assam","1085","286","19.2","11.7","3.2","216"
"","Manipur","90","16","1.5","1.1","0.4","39"
"","Meghalaya","295","6","4.0","1.7","0.0","56"
"","Mizoram","63","3","1.0","0.8","0.0","22"
"","Nagaland","98","4","1.6","1.2","0.2","40"
"","Tripura","207","34","3.6","1.0","0.3","54"
