"RegionRegion","States","Max. Demand Met during the day (MW)","Shortage during maximum Demand (MW)","EnergyMet (MU)","DrawalSchedule (MU)","OD(+)/UD(-) (MU)","MaxOD (MW)"
"NR","Punjab","5044","0","96.7","43.2","1.0","176"
"","Haryana","6221","0","121.8","49.1","0.3","276"
"","Rajasthan","10001","0","205.5","72.2","2.3","394"
"","Delhi","3760","0","64.3","43.6","-1.0","178"
"","UP","9965","2815","229.0","92.6","-1.8","259"
"","Uttarakhand","1811","80","35.4","27.8","0.8","142"
"","HP","1368","9","25.7","22.4","-0.1","55"
"","J&K","2212","390","46.7","38.0","4.5","456"
"","Chandigarh","218","0","3.8","3.7","0.3","17"
"WR","Chhattisgarh","3199","96","71.4","24.5","-0.1","222"
"","Gujarat","11909","0","252.4","49.2","2.1","499"
"","MP","7972","0","156.3","84.7","-1.5","198"
"","Maharashtra","18072","63","370.8","108.0","1.2","479"
"","Goa","384","0","7.7","7.2","0.0","97"
"","DD","266","0","6.0","6.1","-0.1","24"
"","DNH","644","0","15.2","15.3","-0.2","121"
"","Essar steel","331","0","6.2","7.1","-0.9","111"
"SR","Andhra Pradesh","6344","0","141.1","22.7","1.8","347"
"","Telangana","6307","300","131.0","77.3","3.4","321"
"","Karnataka","9175","400","187.5","33.1","3.8","424"
"","Kerala","3297","125","62.2","42.5","2.0","242"
"","Tamil Nadu","11991","837","259.7","106.3","0.8","372"
"","Pondy","297","0","5.9","6.0","-0.1","31"
"ER","Bihar","2673","100","54.5","55.0","-6.3","120"
"","DVC","2488","0","53.2","-13.4","-0.4","310"
"","Jharkhand","1045","0","21.9","11.9","-0.5","100"
"","Odisha","3336","0","66.2","17.7","3.2","300"
"","West Bengal","6001","27","106.2","17.3","3.4","260"
"","Sikkim","91","0","2.3","1.6","0.7","35"
"NER","Arunachal Pradesh","107","1","1.6","1.4","0.2","39"
"","Assam","1188","82","20.2","13.4","1.4","165"
"","Manipur","129","3","2.0","1.9","0.1","44"
"","Meghalaya","339","3","5.3","5.1","-0.8","28"
"","Mizoram","80","2","1.2","1.0","0.2","39"
"","Nagaland","115","4","2.0","1.5","0.3","32"
"","Tripura","195","5","3.0","0.5","0.4","47"
