"RegionRegion","States","Max. Demand Met during the day (MW)","Shortage during maximum Demand (MW)","EnergyMet (MU)","DrawalSchedule (MU)","OD(+)/UD(-) (MU)","MaxOD (MW)"
"NR","Punjab","4773","0","90.4","43.0","1.2","229"
"","Haryana","5715","0","109.5","55.1","-0.9","350"
"","Rajasthan","9874","0","214.8","72.6","-1.4","144"
"","Delhi","3058","0","57.7","39.9","0.6","331"
"","UP","10808","1785","237.5","91.9","-1.6","490"
"","Uttarakhand","1747","40","33.8","22.7","0.2","178"
"","HP","1262","25","23.3","17.5","-1.1","31"
"","J&K","1920","339","42.1","35.4","-0.9","183"
"","Chandigarh","191","0","3.3","3.6","0.3","9"
"WR","Chhattisgarh","3311","96","76.4","22.8","-2.2","225"
"","Gujarat","12256","0","274.5","75.2","1.1","279"
"","MP","9063","0","187.6","105.6","-3.2","450"
"","Maharashtra","18686","10","391.6","124.2","-0.5","600"
"","Goa","412","0","8.3","7.6","0.2","50"
"","DD","285","0","6.4","6.4","0.0","35"
"","DNH","682","0","15.7","16.2","-1.1","65"
"","Essar steel","353","0","7.4","8.5","-1.1","75"
"SR","Andhra Pradesh","6747","0","146.5","27.0","2.0","564"
"","Telangana","6157","500","140.7","81.3","2.4","417"
"","Karnataka","8929","300","195.5","27.4","3.0","367"
"","Kerala","3322","125","61.8","43.2","1.8","218"
"","Tamil Nadu","11942","682","271.3","98.8","-0.7","426"
"","Pondy","299","0","6.2","6.1","0.1","31"
"ER","Bihar","2590","100","54.4","50.7","-1.1","40"
"","DVC","2409","0","55.9","-11.8","0.0","239"
"","Jharkhand","949","0","23.2","9.5","-0.2","160"
"","Odisha","3421","0","64.3","24.1","-0.4","200"
"","West Bengal","6731","0","117.6","16.7","1.4","400"
"","Sikkim","111","0","1.5","1.2","0.3","25"
"NER","Arunachal Pradesh","99","6","1.9","1.2","0.7","38"
"","Assam","1092","170","20.3","13.9","1.5","65"
"","Manipur","125","8","1.7","2.2","-0.6","35"
"","Meghalaya","274","2","5.1","4.9","-0.9","57"
"","Mizoram","80","4","1.2","1.0","0.2","26"
"","Nagaland","100","5","1.9","1.5","0.3","22"
"","Tripura","175","31","2.8","0.6","0.1","42"
