"RegionRegion","States","Max. Demand Met during the day (MW)","Shortage during maximum Demand (MW)","EnergyMet (MU)","DrawalSchedule (MU)","OD(+)/UD(-) (MU)","MaxOD (MW)"
"NR","Punjab","3983","0","78.1","45.5","0.7","278"
"","Haryana","6579","0","125.8","67.0","0.4","226"
"","Rajasthan","9711","0","200.6","62.6","-3.5","129"
"","Delhi","3116","9","56.7","38.6","0.7","238"
"","UP","10966","1815","225.2","87.6","1.7","463"
"","Uttarakhand","1639","0","32.2","20.5","1.0","189"
"","HP","1391","0","26.1","15.9","1.3","225"
"","J&K","2077","367","45.5","34.5","-0.2","205"
"","Chandigarh","186","0","3.3","3.4","0.3","15"
"WR","Chhattisgarh","3625","96","82.2","27.4","1.0","312"
"","Gujarat","12033","0","264.3","75.1","1.1","430"
"","MP","8945","0","169.9","90.5","-3.9","133"
"","Maharashtra","18652","62","370.7","114.5","0.8","486"
"","Goa","419","0","8.4","7.8","0.0","115"
"","DD","285","0","6.4","6.4","0.0","18"
"","DNH","684","0","15.6","16.2","0.5","-12"
"","Essar steel","335","0","6.6","6.1","0.5","124"
"SR","Andhra Pradesh","6237","0","143.0","23.5","3.1","532"
"","Telangana","6401","0","143.9","78.4","4.0","299"
"","Karnataka","8373","300","191.0","27.0","3.6","443"
"","Kerala","3155","125","62.3","42.8","2.0","400"
"","Tamil Nadu","11987","463","273.9","107.3","1.1","364"
"","Pondy","309","0","6.3","6.2","0.0","36"
"ER","Bihar","2854","100","53.3","51.3","-0.8","250"
"","DVC","2601","0","56.5","-13.7","0.5","335"
"","Jharkhand","1096","0","23.1","11.2","0.6","80"
"","Odisha","3515","0","67.6","22.6","3.2","415"
"","West Bengal","6879","0","135.4","31.2","1.9","385"
"","Sikkim","93","0","1.5","1.1","0.3","25"
"NER","Arunachal Pradesh","96","1","1.3","1.2","0.0","36"
"","Assam","1015","258","10.3","13.2","-7.1","172"
"","Manipur","130","6","1.7","1.9","-0.2","49"
"","Meghalaya","318","1","5.1","4.5","-0.5","35"
"","Mizoram","78","2","1.0","0.9","0.0","30"
"","Nagaland","111","4","1.6","1.4","0.0","32"
"","Tripura","190","22","2.7","-0.5","1.0","89"
