"RegionRegion","States","Max. Demand Met during the day (MW)","Shortage during maximum Demand (MW)","EnergyMet (MU)","DrawalSchedule (MU)","OD(+)/UD(-) (MU)","MaxOD (MW)"
"NR","Punjab","3912","358","91.0","64.7","0.0","167"
"","Haryana","5840","0","101.8","73.8","0.9","353"
"","Rajasthan","7689","0","169.3","57.1","0.8","227"
"","Delhi","3541","1","73.1","55.9","1.2","262"
"","UP","9800","3765","230.1","101.4","2.6","346"
"","Uttarakhand","1702","75","34.1","21.3","2.3","221"
"","HP","1254","0","24.6","11.6","0.5","195"
"","J&K","1796","359","37.0","22.8","0.7","207"
"","Chandigarh","196","0","3.7","3.6","0.3","25"
"WR","Chhattisgarh","3617","96","83.4","30.4","1.3","287"
"","Gujarat","13336","0","301.2","59.1","0.5","419"
"","MP","6787","0","139.7","69.3","-2.1","796"
"","Maharashtra","17978","59","400.6","106.6","-5.0","462"
"","Goa","477","0","9.7","8.4","0.6","108"
"","DD","294","0","6.4","6.2","0.2","93"
"","DNH","702","0","16.3","16.6","0.6","27"
"","Essar steel","425","0","8.8","8.2","0.6","133"
"SR","Andhra Pradesh","5957","0","133.6","25.5","2.7","367"
"","Telangana","5731","0","125.6","77.4","2.0","306"
"","Karnataka","7769","400","163.1","32.0","2.6","423"
"","Kerala","3348","125","63.8","40.6","1.6","208"
"","Tamil Nadu","10122","906","242.0","98.9","-1.0","529"
"","Pondy","321","0","6.9","6.9","-0.1","49"
"ER","Bihar","2795","300","53.2","52.8","-1.4","50"
"","DVC","2711","0","56.3","-12.6","-0.2","420"
"","Jharkhand","986","0","22.0","11.2","-1.7","0"
"","Odisha","3926","0","76.9","20.0","1.1","310"
"","West Bengal","6768","0","134.5","40.2","1.0","230"
"","Sikkim","90","0","1.4","1.1","0.3","38"
"NER","Arunachal Pradesh","90","5","1.1","1.4","-0.3","38"
"","Assam","795","473","17.8","12.3","1.4","150"
"","Manipur","142","6","1.8","2.2","-0.4","55"
"","Meghalaya","210","1","4.0","3.2","-0.1","72"
"","Mizoram","56","4","0.8","0.8","0.0","36"
"","Nagaland","72","5","1.9","1.5","0.4","37"
"","Tripura","190","39","2.4","1.6","-0.9","43"
