"RegionRegion","States","Max. Demand Met during the day (MW)","Shortage during maximum Demand (MW)","EnergyMet (MU)","DrawalSchedule (MU)","OD(+)/UD(-) (MU)","MaxOD (MW)"
"NR","Punjab","5351","0","101.8","40.2","-0.9","189"
"","Haryana","5627","0","104.8","58.2","-2.1","311"
"","Rajasthan","10040","0","213.9","70.6","0.6","259"
"","Delhi","3520","2","58.5","43.9","0.8","288"
"","UP","10354","955","230.4","106.4","0.3","338"
"","Uttarakhand","1790","0","33.2","23.8","1.1","173"
"","HP","1336","0","24.7","20.2","0.4","103"
"","J&K","2055","514","40.2","34.2","-0.4","158"
"","Chandigarh","194","0","3.3","3.4","0.3","19"
"WR","Chhattisgarh","3226","96","70.3","23.6","0.2","215"
"","Gujarat","12199","13","266.5","69.5","3.9","363"
"","MP","10846","0","219.2","127.9","-4.5","268"
"","Maharashtra","17834","14","387.2","94.2","-2.7","360"
"","Goa","373","0","7.9","8.1","-0.8","5"
"","DD","269","0","4.5","4.7","-0.2","36"
"","DNH","649","0","15.7","15.6","0.1","20"
"","Essar steel","340","0","6.8","5.3","1.5","137"
"SR","Andhra Pradesh","6020","0","130.8","35.7","0.4","283"
"","Telangana","5852","0","130.0","81.7","0.8","172"
"","Karnataka","7738","1000","166.7","47.0","0.3","430"
"","Kerala","3122","0","56.6","47.1","1.5","108"
"","Tamil Nadu","10915","0","231.7","102.2","4.0","421"
"","Pondy","266","0","5.6","5.6","-0.1","17"
"ER","Bihar","3322","150","66.1","60.4","2.4","345"
"","DVC","2319","0","55.0","-11.1","-0.4","298"
"","Jharkhand","1033","0","21.4","11.3","-0.2","145"
"","Odisha","3538","0","62.9","22.6","0.2","386"
"","West Bengal","6024","0","119.0","18.9","1.2","402"
"","Sikkim","81","0","1.1","1.2","-0.1","26"
"NER","Arunachal Pradesh","113","2","2.0","1.2","0.8","72"
"","Assam","1263","4","20.4","13.1","2.2","238"
"","Manipur","128","2","2.3","1.9","0.4","59"
"","Meghalaya","325","1","5.3","3.8","-0.2","56"
"","Mizoram","74","1","1.4","0.9","0.5","45"
"","Nagaland","119","1","2.0","1.3","0.6","53"
"","Tripura","208","2","2.7","-3.0","2.2","182"
