"RegionRegion","States","Max. Demand Met during the day (MW)","Shortage during maximum Demand (MW)","EnergyMet (MU)","DrawalSchedule (MU)","OD(+)/UD(-) (MU)","MaxOD (MW)"
"NR","Punjab","8074","0","188.2","95.6","2.1","237"
"","Haryana","6928","121","146.0","120.5","-1.5","411"
"","Rajasthan","8898","0","200.2","63.9","-0.3","320"
"","Delhi","5800","0","113.3","90.8","1.3","310"
"","UP","14423","445","319.5","141.6","-2.1","307"
"","Uttarakhand","1829","40","39.6","21.2","1.0","159"
"","HP","1178","120","25.0","6.2","1.1","207"
"","J&K","1834","459","34.8","16.8","-3.9","314"
"","Chandigarh","339","0","6.5","6.4","0.3","37"
"WR","Chhattisgarh","2885","0","70","25","1","464"
"","Gujarat","15000","0","321","69","-3","432"
"","MP","7010","0","153","106","-3","297"
"","Maharashtra","18568","0","416","128","2","474"
"","Goa","414","0","8","8","0","0"
"","DD","322","0","7","7","0","70"
"","DNH","781","0","17","18","-1","7"
"","Essar steel","535","0","11","11","0","187"
"SR","Andhra Pradesh","6575","0","144","15.3","1.7","591"
"","Telangana","5798","0","123","70.2","-0.2","243"
"","Karnataka","6888","0","141","52.5","3.3","699"
"","Kerala","3315","0","61","47.8","1.7","181"
"","Tamil Nadu","13992","0","304","121.1","0.5","570"
"","Pondy","344","0","7","7.6","-0.4","46"
"ER","Bihar","3373","200","66","61.2","1.2","385"
"","DVC","2673","0","59","-29.6","0.3","305"
"","Jharkhand","1091","0","20","15.6","-1.3","185"
"","Odisha","3862","0","82","26.3","-1.1","402"
"","West Bengal","6890","0","132","31.6","-4.7","285"
"","Sikkim","91","0","1","1.1","-0.2","25"
"NER","Arunachal Pradesh","105","4","2","2.2","-0.2","23"
"","Assam","1419","103","24","19.1","0.5","260"
"","Manipur","122","3","2","2.0","0.0","39"
"","Meghalaya","266","0","5","-0.3","0.8","47"
"","Mizoram","64","1","1","1.1","0.0","26"
"","Nagaland","101","4","2","2.0","-0.4","24"
"","Tripura","225","1","3","3.1","-0.2","51"
