"RegionRegion","States","Max. Demand Met during the day (MW)","Shortage during maximum Demand (MW)","EnergyMet (MU)","DrawalSchedule (MU)","OD(+)/UD(-) (MU)","MaxOD (MW)"
"NR","Punjab","4749","0","98.9","41.4","-0.1","140"
"","Haryana","6318","0","109.7","73.5","-1.0","175"
"","Rajasthan","10009","0","206.7","72.3","1.9","307"
"","Delhi","3255","0","59.8","51.1","0.5","221"
"","UP","12923","100","265.0","86.4","-4.2","495"
"","Uttarakhand","1764","0","34.0","20.4","1.1","231"
"","HP","1410","0","24.6","17.6","0.5","115"
"","J&K","1769","442","36.7","33.3","-4.1","28"
"","Chandigarh","176","0","3.3","3.3","-0.1","16"
"WR","Chhattisgarh","3124","0","66.6","9.2","-1.3","191"
"","Gujarat","12034","0","266.4","75.9","-2.1","488"
"","MP","9962","0","215.3","134.4","-3.7","217"
"","Maharashtra","20693","0","434.7","109.6","0.3","616"
"","Goa","406","0","8.4","8.5","-0.7","0"
"","DD","306","0","6.8","6.7","0.1","45"
"","DNH","727","0","14.7","15.6","-0.9","38"
"","Essar steel","405","0","6.6","6.9","-0.3","173"
"SR","Andhra Pradesh","7195","0","158.5","24.4","0.4","364"
"","Telangana","7234","0","147.1","70.0","2.3","274"
"","Karnataka","9356","200","206.1","79.4","4.6","716"
"","Kerala","3390","0","63.6","53.4","2.0","303"
"","Tamil Nadu","13308","0","292.4","151.6","1.4","768"
"","Pondy","326","0","6.6","7.0","-0.4","21"
"ER","Bihar","3435","0","64.2","60.1","1.3","150"
"","DVC","2690","0","62.5","-36.5","3.5","210"
"","Jharkhand","1126","0","20.0","15.5","-0.2","160"
"","Odisha","3866","0","64.6","20.8","-0.1","250"
"","West Bengal","6834","0","105.8","26.9","-1.2","170"
"","Sikkim","79","0","1.2","1.9","-0.7","20"
"NER","Arunachal Pradesh","124","3","2.0","1.8","0.2","17"
"","Assam","1394","71","24.1","17.3","2.4","141"
"","Manipur","125","5","2.0","1.7","0.2","11"
"","Meghalaya","250","9","4.6","4.1","-0.4","19"
"","Mizoram","78","2","1.3","1.1","0.1","12"
"","Nagaland","112","3","1.8","1.7","0.1","22"
"","Tripura","212","0","3.5","3.1","-0.2","61"
