"INTER-REGIONAL EXCHANGESDate of Reporting :30-Jan-17","","","","","","","",""
"","","","","","","","","Import=(+ve) /Export =(-ve) for NET (MU)"
"Sl No","Voltage Level","Line Details","Circuit","Max Import  (MW)","Max Export (MW)","Import   (MU)","Export(MU)","NET(MU)"
"Import/Export of ER (With NR)","","","","","","","",""
"1","765KV","GAYA-VARANASI","D/C","0","326","0.0","9.9","-9.9"
"2","","SASARAM-FATEHPUR","S/C","189","47","2.0","0.0","2.0"
"3","","GAYA-BALIA","S/C","0","322","0.0","5.9","-5.9"
"4","HVDC LINK","PUSAULI  B/B","S/C","0","248","0.0","6.0","-6.0"
"5","400 KV","PUSAULI-SARNATH","S/C","0","220","0.0","0.0","0.0"
"6","","PUSAULI -ALLAHABAD","S/C","0","68","0.0","0.0","0.0"
"7","","MUZAFFARPUR-GORAKHPUR","D/C","67","333","0.0","4.6","-4.6"
"8","","PATNA-BALIA","Q/C","0","756","0.0","14.9","-14.9"
"9","","BIHARSHARIFF-BALIA","D/C","37","171","0.0","1.9","-1.9"
"10","","BARH-GORAKHPUR","D/C","0","556","0.0","11.5","-11.5"
"11","","BIHARSHARIFF-VARANASI","D/C","19","0","0.8","0.0","0.8"
"12","220 KV PUSAULI-SAHUPURI","","S/C","0","188","0.0","3.5","-3.5"
"13","132 KV","SONE NAGAR-RIHAND","S/C","0","0","0.0","0.0","0.0"
"14","","GARWAH-RIHAND","S/C","35","0","0.8","0.0","0.8"
"15","","KARMANASA-SAHUPURI","S/C","0","0","0.0","0.0","0.0"
"16","","KARMANASA-CHANDAULI","S/C","0","0","0.0","0.0","0.0"
"ER-NR","","","","","","3.6","58.3","-54.8"
"Import/Export of ER (With  WR)","","","","","","","",""
"17","765 KV","JHARSUGUDA-DHARAMJAIGARH S/C","D/C","191","235","0.0","0.8","-0.8"
"18","","NEW RANCHI-DHARAMJAIGARH","D/C","472","0","7.7","0.0","7.7"
"19","400 KV","ROURKELA - RAIGARH ( SEL LILO BYPASS)","S/C","148","0","1.8","0.0","1.8"
"20","","JHARSUGUDA-RAIGARH","S/C","146","0","2.4","0.0","2.4"
"21","","IBEUL-RAIGARH","S/C","105","0","1.7","0.0","1.7"
"22","","STERLITE-RAIGARH","D/C","25","104","0.0","0.4","-0.4"
"23","","RANCHI-SIPAT","D/C","453","0","7.9","0.0","7.9"
"24","220 KV","BUDHIPADAR-RAIGARH","S/C","0","110","0.0","1.2","-1.2"
"25","","BUDHIPADAR-KORBA","D/C","175","0","2.9","0.0","2.9"
"ER-WR","","","","","","24.3","2.5","21.9"
"Import/Export of ER (With  SR)","","","","","","","",""
"26","HVDC LINK","JEYPORE-GAZUWAKA B/B","D/C","0.0","361","0.0","15.4","-15.4"
"27","","TALCHER-KOLAR BIPOLE","D/C","0.0","2445","0.0","47.3","-47.3"
"28","400 KV","TALCHER-I/C","D/C","407.2","268.3","3.4","0.2","3.2"
"29","765 KV","ANGUL-SRIKAKULAM","","0.0","647","0.0","11.9","-11.9"
"30","220 KV","BALIMELA-UPPER-SILERRU","S/C","0","0","0.0","0.0","0.0"
"ER-SR","","","","","","0.0","74.7","-74.7"
"Import/Export  of ER (With NER)","","","","","","","",""
"31","400 KV","BINAGURI-BONGAIGAON","D/C","0","0","0.0","0.0","0"
"32","","ALIPURDUAR-BONGAIGAON","D/C","384","235","1.6","0.0","2"
"33","220 KV","ALIPURDUAR-SALAKATI","D/C","273","197","1.4","0.0","1"
"ER-NER","","","","","","3.0","0.0","3.0"
"Import/Export of NR (With NER)","","","","","","","",""
"34-HVDCBISWANATH CHARIALI-AGRA00","","","","","","0.0","12.1","12.1"
"NR-NER","","","","","","0.0","12.1","12.1"
"Import/Export of WR (With NR)","","","","","","","",""
"35","HVDC","V'CHAL B/B","D/C","500","0","9.9","0.0","9.9"
"36","HVDC","APL -MHG","D/C","0","2016","0.0","42.4","-42.4"
"37","765 KV","GWALIOR-AGRA","D/C","0","2912","0.0","59.3","-59.3"
"38","765 KV","PHAGI-GWALIOR","D/C","0","1500","0.0","29.6","-29.6"
"39","400 KV","ZERDA-KANKROLI","S/C","109","0","0.2","0.0","0.2"
"40","400 KV","ZERDA -BHINMAL","S/C","5","245","0.0","2.5","-2.5"
"41","400 KV","V'CHAL -RIHAND","S/C","0","0","0.0","0.0","0.0"
"42","400KV","RAPP-SHUJALPUR","D/C","0","440","0","7","-7"
"43","220 KV","BADOD-KOTA","S/C","25","42","0.0","0.3","-0.2"
"44","","BADOD-MORAK","S/C","0","61","0.0","1.0","-1.0"
"45","","MEHGAON-AURAIYA","S/C","37","0","0.5","0.0","0.5"
"46","","MALANPUR-AURAIYA","S/C","10","13","0.0","0.1","0.0"
"47","132KV","GWALIOR-SAWAI MADHOPUR","S/C","0","0","0.0","0.0","0.0"
