"RegionRegion","States","Max. Demand Met during the day (MW)","Shortage during maximum Demand (MW)","EnergyMet (MU)","DrawalSchedule (MU)","OD(+)/UD(-) (MU)","MaxOD (MW)"
"NR","Punjab","5697","0","111.1","58.8","0.7","200"
"","Haryana","6028","0","118.3","103.4","0.3","164"
"","Rajasthan","8327","0","174.5","53.0","-0.5","147"
"","Delhi","3283","0","62.2","51.2","0.0","247"
"","UP","13243","0","283.0","106.6","1.1","394"
"","Uttarakhand","1744","0","31.4","21.1","0.6","173"
"","HP","1376","0","24.9","17.3","1.9","203"
"","J&K","1983","496","41.9","34.5","-1.5","84"
"","Chandigarh","179","0","3.3","3.3","-0.1","12"
"WR","Chhattisgarh","3606","0","85.5","21.5","-2.4","105"
"","Gujarat","13954","0","308.7","115.8","2.5","937"
"","MP","8372","0","167.4","102.3","-0.3","338"
"","Maharashtra","21592","0","466.3","145.7","0.1","637"
"","Goa","475","0","8.3","8.8","-1.1","31"
"","DD","327","0","7.2","6.8","0.4","11"
"","DNH","744","0","16.9","17.1","-0.3","15"
"","Essar steel","468","0","9.6","10.0","-0.3","190"
"SR","Andhra Pradesh","7456","0","166.7","21.6","2.1","396"
"","Telangana","8650","0","180.0","83.2","0.3","239"
"","Karnataka","9647","0","221.0","83.1","4.2","447"
"","Kerala","3477","0","71.0","54.9","2.2","219"
"","Tamil Nadu","14334","0","313.7","157.3","2.6","527"
"","Pondy","348","0","7.4","7.3","0.0","54"
"ER","Bihar","3649","-100","58.4","56.4","0.4","200"
"","DVC","3124","0","61.1","-41.5","-4.5","10"
"","Jharkhand","1120","0","23.2","16.1","1.8","150"
"","Odisha","4014","0","79.3","22.2","0.8","100"
"","West Bengal","7175","0","120.2","23.8","6.2","300"
"","Sikkim","93","0","1.6","1.7","-0.1","4"
"NER","Arunachal Pradesh","128","2","2.0","1.6","0.4","31"
"","Assam","1339","44","22.3","15.1","3.9","318"
"","Manipur","145","1","2.1","2.0","0.1","41"
"","Meghalaya","305","0","6.0","3.1","0.2","88"
"","Mizoram","82","1","1.5","0.9","0.5","33"
"","Nagaland","94","2","1.8","1.3","0.4","19"
"","Tripura","203","2","2.6","0.2","1.0","121"
