"RegionRegion","States","Max. Demand Met during the day (MW)","Shortage during maximum Demand (MW)","Energy Met (MU)","Drawal Schedule (MU)","OD(+)/UD(-) (MU)","Max OD (MW)","Energy Shortage (MU)"
"NR","Punjab","7348","0","166.5","93.3","1.1","176","0.0"
"","Haryana","7558","0","162.0","117.7","-0.6","292","0.0"
"","Rajasthan","9472","236","205.9","69.0","-0.6","239","1.2"
"","Delhi","5722","0","116.4","96.9","-0.1","265","0.1"
"","UP","17650","200","373.3","155.3","1.0","452","0.0"
"","Uttarakhand","1848","0","40.7","19.4","-0.9","59","0.0"
"","HP","1256","0","26.7","4.4","2.0","181","0.0"
"","J&K","1926","482","40.3","17.2","0.1","94","9.5"
"","Chandigarh","323","0","5.7","6.4","-0.7","16","0.0"
"WR","Chhattisgarh","3544","0","82.6","15.5","-0.2","127","0.0"
"","Gujarat","15454","0","343.7","99.8","1.3","400","0.0"
"","MP","8130","0","183.9","95.3","-0.6","712","0.0"
"","Maharashtra","21461","0","467.7","147.1","-2.7","555","0.0"
"","Goa","447","0","10.7","9.3","1.2","49","0.0"
"","DD","319","0","7.2","6.8","0.4","65","0.0"
"","DNH","753","0","17.0","17.4","-0.5","7","0.0"
"","Essar steel","483","0","10.3","10.6","-0.2","183","0.0"
"SR","Andhra Pradesh","7339","0","164.9","54.2","6.1","550","0.0"
"","Telangana","6701","0","143.0","55.7","-2.5","367","0.0"
"","Karnataka","8704","0","188.4","68.4","4.1","393","0.0"
"","Kerala","3507","0","71.0","52.2","1.3","345","0.0"
"","Tamil Nadu","14212","0","317.8","163.3","5.1","550","0.0"
"","Pondy","343","0","7.2","7.4","-0.2","36","0.0"
"ER","Bihar","4037","0","77.7","72.5","3.4","290","0.0"
"","DVC","2947","0","58.2","-36.7","0.3","500","0.0"
"","Jharkhand","1193","0","24.0","17.2","0.7","180","0.0"
"","Odisha","4294","0","83.1","22.5","-1.0","210","0.0"
"","West Bengal","8137","0","134.6","37.9","-0.4","530","0.0"
"","Sikkim","72","0","1.0","0.8","0.1","30","0.0"
"NER","Arunachal Pradesh","91","2","2.0","1.6","0.3","8","0.0"
"","Assam","1473","97","24.0","18.5","3.1","168","1.1"
"","Manipur","131","2","2.4","2.1","0.3","5","0.0"
"","Meghalaya","244","0","4.8","3.0","0.4","31","0.0"
"","Mizoram","84","1","1.4","1.2","0.2","9","0.0"
"","Nagaland","106","1","1.8","1.7","-0.1","5","0.0"
"","Tripura","231","3","4.5","3.0","0.8","7","0.0"
