"RegionRegion","States","Max. Demand Met during the day (MW)","Shortage during maximum Demand (MW)","Energy Met (MU)","Drawal Schedule (MU)","OD(+)/UD(-) (MU)","Max OD (MW)","Energy Shortage (MU)"
"NR","Punjab","7571","0","171.3","120.9","0.9","156","0.0"
"","Haryana","6924","573","155.5","121.4","2.6","327","0.6"
"","Rajasthan","10315","0","216.5","56.5","2.8","441","0.8"
"","Delhi","6319","0","128.4","109.4","0.6","375","0.1"
"","UP","17552","1275","386.0","173.7","3.1","687","4.4"
"","Uttarakhand","1948","0","43.0","18.6","-0.4","115","0.0"
"","HP","1332","0","27.0","1.3","2.8","262","0.0"
"","J&K","1822","456","34.0","12.9","-2.0","332","8.0"
"","Chandigarh","356","0","6.9","7.0","-0.1","27","0.0"
"WR","Chhattisgarh","3272","0","76.7","20.9","-0.7","228","0.0"
"","Gujarat","15121","0","330.3","86.1","2.3","406","0.0"
"","MP","7376","0","163.8","76.4","-0.4","503","0.0"
"","Maharashtra","20384","0","443.5","123.0","0.7","770","0.0"
"","Goa","457","0","8.6","9.8","-1.7","64","0.0"
"","DD","323","0","7.1","6.6","0.5","60","0.0"
"","DNH","742","0","16.8","17.2","-0.4","13","0.0"
"","Essar steel","430","0","8.6","8.4","0.2","211","0.0"
"SR","Andhra Pradesh","7611","0","153.6","35.6","5.3","1067","0.0"
"","Telangana","6886","0","140.2","60.8","-5.0","378","0.0"
"","Karnataka","8427","0","182.3","81.2","4.4","467","0.0"
"","Kerala","3269","0","61.9","49.1","1.6","181","0.0"
"","Tamil Nadu","14776","0","316.5","108.6","2.5","790","0.0"
"","Pondy","368","0","7.7","8.0","-0.2","25","0.0"
"ER","Bihar","3984","0","72.7","68.3","0.9","300","0.0"
"","DVC","2882","0","64.6","-44.3","-1.1","250","0.0"
"","Jharkhand","1164","0","23.1","18.1","1.4","200","0.0"
"","Odisha","3896","0","80.4","22.4","1.4","310","0.0"
"","West Bengal","8430","0","157.8","67.4","1.9","360","0.0"
"","Sikkim","74","0","1.2","1.3","-0.1","20","0.0"
"NER","Arunachal Pradesh","91","1","1.7","2.0","-0.4","27","0.0"
"","Assam","1600","38","25.8","19.6","1.5","195","1.2"
"","Manipur","147","1","1.6","1.8","-0.2","24","0.0"
"","Meghalaya","230","0","4.0","0.1","0.2","22","0.0"
"","Mizoram","79","3","1.2","1.1","0.1","27","0.0"
"","Nagaland","98","2","1.9","1.8","-0.1","18","0.0"
"","Tripura","206","3","6.2","2.8","0.4","30","0.1"
