"RegionRegion","States","Max. Demand Met during the day (MW)","Shortage during maximum Demand (MW)","Energy Met (MU)","Drawal Schedule (MU)","OD(+)/UD(-) (MU)","Max OD (MW)","Energy Shortage (MU)"
"NR","Punjab","6387","0","124.1","91.3","0.0","181","0.0"
"","Haryana","6666","0","117.9","92.4","-3.8","279","0.0"
"","Rajasthan","9218","0","185.4","64.9","2.9","466","0.0"
"","Delhi","5214","0","99.8","82.6","-2.2","113","0.0"
"","UP","17209","350","359.8","156.9","0.2","334","0.0"
"","Uttarakhand","1680","0","35.8","12.4","-0.1","83","0.0"
"","HP","1150","6","24.1","1.4","2.7","260","0.0"
"","J&K","1866","467","36.8","13.8","1.4","483","8.6"
"","Chandigarh","246","0","4.6","5.4","-0.8","0","0.0"
"WR","Chhattisgarh","3148","0","74.6","8.9","-1.6","45","0.0"
"","Gujarat","13336","0","291.0","107.8","4.4","777","0.0"
"","MP","6797","0","147.8","84.3","-1.5","272","0.0"
"","Maharashtra","16269","0","377.2","99.7","-1.8","538","0.0"
"","Goa","356","0","7.4","8.3","-1.4","24","0.0"
"","DD","287","0","6.4","6.1","0.3","41","0.0"
"","DNH","737","0","16.9","17.4","-0.5","-1","0.0"
"","Essar steel","352","0","7.0","6.0","1.0","221","0.0"
"SR","Andhra Pradesh","6629","0","145.4","35.0","5.6","572","0.0"
"","Telangana","5506","0","118.8","57.9","-3.1","301","0.0"
"","Karnataka","6537","0","145.6","62.6","1.9","428","0.0"
"","Kerala","2859","0","55.0","45.9","1.0","183","0.0"
"","Tamil Nadu","12848","0","287.9","93.3","-1.4","510","0.0"
"","Pondy","333","0","6.9","7.5","-0.6","20","0.0"
"ER","Bihar","4079","0","82.1","74.4","4.3","280","0.0"
"","DVC","2904","0","65.4","-36.2","0.1","250","0.0"
"","Jharkhand","1153","0","25.6","16.2","-0.2","276","0.0"
"","Odisha","3469","0","71.6","14.5","0.2","300","0.0"
"","West Bengal","7779","0","140.4","40.9","2.8","215","0.0"
"","Sikkim","55","0","1.0","1.6","-0.7","0","0.0"
"NER","Arunachal Pradesh","105","4","1.7","1.8","-0.1","27","0.0"
"","Assam","1402","166","28.4","21.6","2.4","164","1.7"
"","Manipur","126","2","1.9","1.9","0.0","28","0.0"
"","Meghalaya","240","0","3.5","2.5","-1.1","23","0.0"
"","Mizoram","68","1","1.1","1.0","0.0","14","0.0"
"","Nagaland","103","2","1.9","1.8","-0.2","21","0.0"
"","Tripura","240","3","4.8","2.9","0.1","45","0.1"
