"RegionRegion","States","Max. Demand Met during the day (MW)","Shortage during maximum Demand (MW)","Energy Met (MU)","Drawal Schedule (MU)","OD(+)/UD(-) (MU)","Max OD (MW)","Energy Shortage (MU)"
"NR","Punjab","6999","0","153.9","108.9","0.2","205","0.0"
"","Haryana","7524","0","152.7","111.0","2.9","363","0.0"
"","Rajasthan","9322","0","197.2","63.1","2.3","390","0.0"
"","Delhi","5540","0","113.1","93.7","-0.2","192","0.0"
"","UP","17152","1110","369.0","153.7","1.7","477","2.6"
"","Uttarakhand","1832","0","40.0","15.1","1.9","186","0.1"
"","HP","1269","0","26.5","3.6","4.6","372","0.0"
"","J&K","1997","499","38.7","15.0","0.5","207","9.1"
"","Chandigarh","317","0","6.2","5.8","0.4","32","0.0"
"WR","Chhattisgarh","3092","0","71.3","8.7","-3.4","56","0.0"
"","Gujarat","14729","0","310.7","104.6","1.6","565","0.0"
"","MP","7095","0","154.9","80.5","-1.1","285","0.0"
"","Maharashtra","17787","0","388.9","102.4","1.0","593","0.0"
"","Goa","425","0","8.5","8.9","-0.8","80","0.0"
"","DD","322","0","6.9","6.1","0.8","67","0.0"
"","DNH","759","0","17.1","17.4","-0.3","25","0.0"
"","Essar steel","336","0","6.8","6.0","0.7","220","0.0"
"SR","Andhra Pradesh","6804","0","151.5","37.0","7.5","855","0.0"
"","Telangana","5541","0","118.9","56.9","-3.1","402","0.0"
"","Karnataka","7219","0","150.0","62.9","2.5","389","0.0"
"","Kerala","3195","0","60.6","47.1","1.5","230","0.0"
"","Tamil Nadu","14136","0","308.7","105.0","0.3","937","0.0"
"","Pondy","372","0","7.6","7.9","-0.3","27","0.0"
"ER","Bihar","4078","100","82.5","75.0","4.0","300","0.3"
"","DVC","2966","0","66.4","-41.0","-1.2","250","0.0"
"","Jharkhand","1115","0","24.7","15.8","-0.7","250","0.0"
"","Odisha","3543","0","74.0","15.1","0.8","180","0.0"
"","West Bengal","7412","0","133.7","46.0","2.9","350","0.0"
"","Sikkim","57","0","0.9","1.7","-0.8","20","0.0"
"NER","Arunachal Pradesh","103","2","2.0","2.6","-0.6","27","0.0"
"","Assam","1475","91","25.7","20.6","0.1","113","1.3"
"","Manipur","131","4","1.9","2.0","-0.1","28","0.1"
"","Meghalaya","231","0","4.6","1.5","-0.4","26","0.0"
"","Mizoram","69","1","1.0","1.2","-0.2","14","0.1"
"","Nagaland","113","2","1.9","2.0","-0.4","21","0.0"
"","Tripura","140","34","3.2","2.2","-0.7","40","0.5"
