"RegionRegion","States","Max. Demand Met during the day (MW)","Shortage during maximum Demand (MW)","Energy Met (MU)","Drawal Schedule (MU)","OD(+)/UD(-) (MU)","Max OD (MW)","Energy Shortage (MU)"
"NR","Punjab","10056","0","213.9","126.0","0.4","285","0.0"
"","Haryana","7268","0","143.4","111.3","-6.2","220","0.0"
"","Rajasthan","9122","343","201.0","75.5","3.7","486","1.0"
"","Delhi","5879","0","106.5","88.4","-1.8","204","0.0"
"","UP","17278","530","358.4","150.1","-1.1","375","2.0"
"","Uttarakhand","1779","0","40.1","15.4","0.4","145","0.0"
"","HP","1240","0","26.2","2.8","2.5","232","0.1"
"","J&K","1947","487","41.6","15.2","0.5","214","9.2"
"","Chandigarh","290","0","5.8","6.4","-0.6","5","0.0"
"WR","Chhattisgarh","3208","0","73.4","8.2","-1.7","89","0.0"
"","Gujarat","15397","0","338.4","93.1","0.8","570","0.0"
"","MP","6987","0","156.1","81.8","-2.3","500","0.0"
"","Maharashtra","17032","0","384.8","114.7","0.0","569","0.0"
"","Goa","414","0","8.9","9.9","-1.4","107","0.0"
"","DD","324","0","7.3","6.3","1.0","76","0.0"
"","DNH","737","0","16.7","16.8","-0.2","27","0.0"
"","Essar steel","477","0","9.1","8.7","0.4","235","0.0"
"SR","Andhra Pradesh","6350","0","139.8","38.7","5.7","1195","0.0"
"","Telangana","5731","0","120.4","66.9","-2.7","297","0.0"
"","Karnataka","7790","0","164.6","65.4","4.8","591","0.0"
"","Kerala","3504","0","67.8","47.1","1.9","263","0.0"
"","Tamil Nadu","13973","0","316.2","123.9","0.1","704","0.0"
"","Pondy","361","0","7.6","7.7","-0.1","26","0.0"
"ER","Bihar","3989","0","76.8","75.2","-0.3","385","1.2"
"","DVC","2827","0","65.3","-34.7","-0.3","305","0.0"
"","Jharkhand","999","0","21.6","16.0","0.4","185","0.0"
"","Odisha","3993","0","71.2","10.1","2.9","398","0.0"
"","West Bengal","7556","0","141.1","42.4","1.6","435","0.0"
"","Sikkim","66","0","1.2","1.1","0.1","20","0.0"
"NER","Arunachal Pradesh","101","1","2.0","2.8","-0.8","8","0.0"
"","Assam","1466","101","27.7","20.0","2.9","78","1.0"
"","Manipur","127","5","2.0","2.0","-0.1","27","0.0"
"","Meghalaya","245","0","4.9","0.4","-0.3","36","0.0"
"","Mizoram","67","1","1.1","0.9","0.2","23","0.0"
"","Nagaland","137","3","1.9","1.9","-0.2","53","0.0"
"","Tripura","214","14","4.3","2.6","-0.2","35","0.1"
