"RegionRegion","States","Max. Demand Met during the day (MW)","Shortage during maximum Demand (MW)","Energy Met (MU)","Drawal Schedule (MU)","OD(+)/UD(-) (MU)","Max OD (MW)","Energy Shortage (MU)"
"NR","Punjab","10781","0","243.9","127.4","1.1","285","0.0"
"","Haryana","9171","124","201.9","129.0","1.7","288","0.9"
"","Rajasthan","8882","0","182.6","74.3","-0.2","444","0.0"
"","Delhi","5443","0","113.5","89.6","-0.5","173","0.0"
"","UP","15713","2500","347.0","167.4","3.8","390","6.9"
"","Uttarakhand","1955","0","41.3","13.7","0.6","299","0.3"
"","HP","1305","0","27.5","-3.7","4.0","345","0.0"
"","J&K","2133","533","43.6","14.0","3.6","229","10.4"
"","Chandigarh","281","0","5.7","6.7","-0.9","2","0.0"
"WR","Chhattisgarh","3449","0","80.2","26.1","0.9","306","0.7"
"","Gujarat","10412","0","227.0","56.5","-1.7","727","0.0"
"","MP","6483","0","136.0","69.1","-3.0","176","0.0"
"","Maharashtra","17619","0","382.1","110.0","3.2","396","0.0"
"","Goa","433","0","8.7","8.3","0.3","80","0.0"
"","DD","306","0","7.0","6.5","0.5","28","0.0"
"","DNH","718","0","16.3","16.3","0.0","31","0.0"
"","Essar steel","482","0","10.0","9.9","0.1","182","0.0"
"SR","Andhra Pradesh","7648","0","169","52","3.6","646","0.0"
"","Telangana","9039","0","187","110","-1.4","390","0.0"
"","Karnataka","8871","0","192","81","2.6","477","0.0"
"","Kerala","3436","0","66","50","1.6","308","0.0"
"","Tamil Nadu","14067","0","319","106","-0.2","667","0.0"
"","Pondy","342","0","7","8","-0.4","40","0.0"
"ER","Bihar","4140","0","78.2","71.2","0.5","200","0.0"
"","DVC","2877","0","62.3","-19.8","-0.5","180","0.0"
"","Jharkhand","1126","0","21.8","15.5","0.2","170","0.0"
"","Odisha","4176","0","77.4","24.2","-0.5","300","0.0"
"","West Bengal","8217","0","153.3","45.2","4.3","480","0.0"
"","Sikkim","93","0","1.2","1.0","0.1","18","0.0"
"NER","Arunachal Pradesh","122","3","2.0","2.5","-0.4","8","0.1"
"","Assam","1656","90","31.5","23.7","3.5","162","1.0"
"","Manipur","133","2","2.2","1.9","0.2","22","0.1"
"","Meghalaya","248","0","4.6","-1.4","-0.2","42","0.0"
"","Mizoram","69","5","1.2","1.0","0.1","14","0.0"
"","Nagaland","115","3","2.3","2.0","0.1","24","0.0"
"","Tripura","210","9","4.1","2.9","0.9","40","0.1"
