"RegionRegion","States","Max. Demand Met during the day (MW)","Shortage during maximum Demand (MW)","Energy Met (MU)","Drawal Schedule (MU)","OD(+)/UD(-) (MU)","Max OD (MW)","Energy Shortage (MU)"
"NR","Punjab","8919","0","192.6","94.7","-0.2","139","0.0"
"","Haryana","8292","0","179.4","115.5","1.7","187","0.0"
"","Rajasthan","9721","0","215.9","72.7","1.8","312","0.0"
"","Delhi","5258","0","109.4","83.4","-1.4","110","0.1"
"","UP","16492","0","369.8","178.9","-1.8","231","0.0"
"","Uttarakhand","1972","0","40.9","13.3","1.0","144","0.1"
"","HP","1404","0","27.8","10.2","1.0","140","0.0"
"","J&K","2186","547","42.4","22.5","2.4","346","10.1"
"","Chandigarh","249","0","5.2","5.6","-0.4","3","0.0"
"WR","Chhattisgarh","3528","95","75.9","18.5","-1.8","259","0.1"
"","Gujarat","14756","0","321.0","52.8","0.3","330","0.0"
"","MP","6941","0","146.4","89.3","-3.4","326","0.0"
"","Maharashtra","16728","0","361.4","103.4","-3.9","305","0.0"
"","Goa","449","0","9.1","8.7","0.2","32","0.0"
"","DD","327","0","7.4","6.5","0.9","79","0.0"
"","DNH","754","0","17.2","16.6","0.6","96","0.0"
"","Essar steel","402","0","8.4","7.7","0.7","144","0.0"
"SR","Andhra Pradesh","7450","0","164.7","42.8","2.2","681","0.0"
"","Telangana","8448","0","184.5","67.3","0.1","282","0.0"
"","Karnataka","7687","0","159.8","41.5","1.5","567","0.0"
"","Kerala","3324","0","65.0","36.6","1.2","226","0.0"
"","Tamil Nadu","14072","0","305.3","129.4","2.8","624","0.0"
"","Pondy","359","0","7.5","7.7","-0.2","25","0.0"
"ER","Bihar","4204","0","74.8","71.9","-3.5","356","0.5"
"","DVC","2784","200","65.9","-22.7","-0.2","378","0.7"
"","Jharkhand","1252","0","23.5","18.0","0.8","185","0.4"
"","Odisha","4401","200","90.5","40.8","1.2","302","0.6"
"","West Bengal","8233","0","145.2","49.1","2.9","412","0.0"
"","Sikkim","87","0","1.6","1.5","0.1","20","0.0"
"NER","Arunachal Pradesh","127","8","2.2","2.5","-0.3","7","0.1"
"","Assam","1640","118","30.3","22.7","2.8","161","1.0"
"","Manipur","133","5","2.2","2.1","0.1","27","0.1"
"","Meghalaya","265","0","4.5","-1.2","-0.1","61","0.0"
"","Mizoram","72","1","1.3","1.2","0.1","23","0.1"
"","Nagaland","106","4","2.1","1.9","0.1","27","0.1"
"","Tripura","255","3","4.2","5.6","0.1","25","0.0"
