"RegionRegion","States","Max. Demand Met during the day (MW)","Shortage during maximum Demand (MW)","Energy Met (MU)","Drawal Schedule (MU)","OD(+)/UD(-) (MU)","Max OD (MW)","Energy Shortage (MU)"
"NR","Punjab","5087","0","107.0","42.9","-1.3","98","0.0"
"","Haryana","6510","0","125.0","80.9","1.3","226","0.0"
"","Rajasthan","9873","0","199.1","64.9","0.9","394","0.0"
"","Delhi","3641","0","71.8","59.0","-0.5","95","0.0"
"","UP","14090","360","305.5","121.8","1.2","788","0.0"
"","Uttarakhand","1718","0","33.9","12.7","1.1","129","0.0"
"","HP","1393","0","24.7","15.1","0.4","111","0.1"
"","J&K","1905","476","40.2","32.2","0.9","184","9.4"
"","Chandigarh","223","0","3.5","3.8","-0.3","61","0.0"
"WR","Chhattisgarh","3566","0","76.8","28.9","-1.2","146","0.0"
"","Gujarat","14522","0","307.9","73.4","1.8","364","0.0"
"","MP","9998","0","221.1","157.3","2.6","622","0.0"
"","Maharashtra","19568","0","417.3","117.5","-1.2","347","0.0"
"","Goa","428","0","8.9","9.0","0.0","111","0.0"
"","DD","320","0","7.3","5.8","1.4","87","0.0"
"","DNH","752","0","17.5","16.1","1.4","79","0.0"
"","Essar steel","455","0","9.4","9.4","-0.1","155","0.0"
"SR","Andhra Pradesh","7540","0","164.4","62.0","1.7","408","0.0"
"","Telangana","7304","0","161.1","44.6","0.4","403","0.0"
"","Karnataka","8037","0","167.8","58.9","2.4","389","0.0"
"","Kerala","3360","0","66.6","44.9","1.4","201","0.0"
"","Tamil Nadu","13396","0","292.7","153.3","-0.8","483","0.0"
"","Pondy","349","0","7.2","7.4","-0.2","29","0.0"
"ER","Bihar","4043","0","75.1","65.6","0.4","490","0.0"
"","DVC","2962","0","63.4","-18.3","5.5","350","0.0"
"","Jharkhand","1082","0","23.7","15.2","-1.7","0","0.0"
"","Odisha","4263","0","84.3","40.7","2.5","400","0.8"
"","West Bengal","7512","0","132.5","44.4","0.4","250","0.0"
"","Sikkim","98","0","1.3","1.2","0.0","20","0.0"
"NER","Arunachal Pradesh","96","9","2.2","2.2","0.0","7","0.0"
"","Assam","1538","49","25.0","19.8","0.2","139","0.8"
"","Manipur","145","7","2.3","2.2","0.1","19","0.1"
"","Meghalaya","256","49","5.3","0.0","0.3","59","0.0"
"","Mizoram","69","6","1.3","1.0","0.2","15","0.1"
"","Nagaland","119","4","2.2","1.6","0.1","19","0.0"
"","Tripura","233","5","4.1","2.7","0.1","75","0.1"
