"Region","States","Max. Demand Met during the day (MW)","Shortage during maximum Demand (MW)","Energy Met (MU)","Drawal Schedule (MU)","OD(+)/UD(-) (MU)","Max OD (MW)","Energy Shortage (MU)"
"NR","Punjab","10410","0","216.5","134.5","-0.6","132","0.0"
"","Haryana","9291","113","195.8","143.8","3.6","401","0.2"
"","Rajasthan","10344","0","218.7","73.6","3.0","407","0.2"
"","Delhi","6094","0","123.9","99.1","-0.6","128","0.1"
"","UP","18020","1240","398.3","178.3","1.4","368","0.2"
"","Uttarakhand","2035","0","41.4","14.6","0.7","209","0.2"
"","HP","1400","0","26.1","-2.4","5.6","561","0.1"
"","J&K","2240","560","45.9","18.6","2.4","345","10.9"
"","Chandigarh","288","0","5.6","5.5","0.1","58","0.0"
"WR","Chhattisgarh","3786","0","89.2","30.5","1.5","425","0.0"
"","Gujarat","14314","0","315.9","104.1","2.5","581","0.0"
"","MP","7443","0","163.4","62.9","-2.5","395","0.0"
"","Maharashtra","18326","0","407.7","118.9","-3.8","713","0.0"
"","Goa","434","0","9.0","8.4","-0.1","41","0.0"
"","DD","342","0","7.6","6.5","1.1","81","0.0"
"","DNH","742","0","17.1","16.4","0.6","80","0.0"
"","Essar steel","519","0","10.9","10.7","0.1","271","0.0"
"SR","Andhra Pradesh","7337","0","166.9","18.6","0.7","549","0.0"
"","Telangana","7277","0","150.7","66.9","-0.2","495","0.0"
"","Karnataka","9484","0","194.7","59.8","0.2","399","0.0"
"","Kerala","3425","175","68.2","46.0","0.7","241","0.8"
"","Tamil Nadu","15012","0","325.1","120.5","-2.4","417","0.0"
"","Pondy","381","0","8.1","8.3","-0.2","41","0.0"
"ER","Bihar","4763","0","88.2","84.2","1.6","365","0.0"
"","DVC","3038","0","69.2","-36.3","-1.0","385","0.0"
"","Jharkhand","1070","0","23.0","18.7","-0.7","198","0.0"
"","Odisha","3828","0","77.8","33.7","1.8","448","0.0"
"","West Bengal","8347","0","169.7","49.1","5.6","498","0.0"
"","Sikkim","91","0","1.2","1.3","-0.1","20","0.0"
"NER","Arunachal Pradesh","110","2","2.3","2.3","0.0","75","0.0"
"","Assam","1731","44","33.1","24.8","2.3","223","0.7"
"","Manipur","162","6","2.5","2.5","0.0","62","0.0"
"","Meghalaya","282","0","4.9","0.7","-0.2","35","0.0"
"","Mizoram","84","4","1.5","0.7","0.1","36","0.0"
"","Nagaland","105","6","2.2","1.7","0.3","14","0.0"
"","Tripura","268","1","4.6","4.4","0.0","81","0.0"
