"Region","States","Max. Demand Met during the day (MW)","Shortage during maximum Demand (MW)","Energy Met (MU)","Drawal Schedule (MU)","OD(+)/UD(-) (MU)","Max OD (MW)","Energy Shortage (MU)"
"NR","Punjab","8996","0","199.9","119.5","-0.7","92","0.0"
"","Haryana","8056","0","157.2","136.2","0.6","247","0.6"
"","Rajasthan","8352","0","182.3","45.5","0.7","592","0.0"
"","Delhi","4669","0","98.1","77.0","-0.8","109","0.0"
"","UP","15712","190","336.7","144.9","-0.1","240","0.2"
"","Uttarakhand","1816","75","39.9","16.9","0.6","115","1.4"
"","HP","1324","0","18.8","-3.3","2.8","215","0.1"
"","J&K","1962","490","40.1","19.3","-3.3","75","9.5"
"","Chandigarh","270","0","5.2","5.3","-0.1","39","0.0"
"WR","Chhattisgarh","3883","34","88.9","17.1","-0.7","209","0.1"
"","Gujarat","15276","0","336.1","93.2","5.9","1236","0.0"
"","MP","7932","0","166.9","62.1","2.0","930","0.0"
"","Maharashtra","21977","0","467.7","156.3","-0.9","692","0.0"
"","Goa","472","0","12.6","9.0","0.3","68","0.0"
"","DD","356","0","7.7","6.2","1.4","88","0.0"
"","DNH","812","0","18.7","17.6","1.2","91","0.0"
"","Essar steel","525","0","11.3","11.2","0.1","255","0.0"
"SR","Andhra Pradesh","9416","0","196.8","62.8","2.4","680","0.0"
"","Telangana","10749","0","230.6","106.3","2.0","554","0.0"
"","Karnataka","9314","0","201.3","52.0","1.1","570","0.0"
"","Kerala","3262","0","63.1","31.6","0.6","197","0.6"
"","Tamil Nadu","13573","0","297.7","134.3","6.5","1083","0.0"
"","Pondy","344","0","7.4","7.4","-0.1","44","0.1"
"ER","Bihar","4792","0","93.1","92.7","0.1","50","0.2"
"","DVC","2897","-2","57.9","-29.8","5.3","510","1.6"
"","Jharkhand","995","0","22.2","16.9","-1.8","20","0.0"
"","Odisha","4739","-1","99.2","34.7","1.6","480","0.6"
"","West Bengal","8159","0","161.9","63.6","3.6","250","0.0"
"","Sikkim","82","0","1.1","1.1","0.0","10","0.0"
"NER","Arunachal Pradesh","120","3","2.3","2.9","-0.6","0","0.0"
"","Assam","1607","61","29.2","22.9","0.6","234","1.5"
"","Manipur","170","2","2.2","2.5","-0.4","38","0.0"
"","Meghalaya","298","0","5.3","-0.1","-0.2","22","0.0"
"","Mizoram","78","2","1.5","1.2","0.0","5","0.0"
"","Nagaland","117","3","2.3","2.1","-0.2","0","0.1"
"","Tripura","267","5","4.6","4.1","-0.1","78","0.0"
