"Region","States","Max. Demand Met during the day (MW)","Shortage during maximum Demand (MW)","Energy Met (MU)","Drawal Schedule (MU)","OD(+)/UD(-) (MU)","Max OD (MW)","Energy Shortage (MU)"
"NR","Punjab","5006","0","111.1","24.0","-1.6","90","0.0"
"","Haryana","5978","0","110.7","69.1","1.2","185","0.2"
"","Rajasthan","11179","0","222.9","61.3","2.6","495","0.0"
"","Delhi","3203","0","61.3","44.4","-0.2","154","0.0"
"","UP","13293","0","267.0","109.0","-0.5","265","0.0"
"","Uttarakhand","1745","0","33.4","23.5","-0.4","191","0.0"
"","HP","1524","0","26.9","16.1","1.3","163","0.0"
"","J&K","2370","592","44.1","37.4","-0.9","237","10.4"
"","Chandigarh","172","0","3.1","3.0","0.1","32","0.0"
"WR","Chhattisgarh","3603","0","76.2","10.9","-0.9","373","0.0"
"","Gujarat","13371","0","290.0","122.8","3.8","356","0.0"
"","MP","12868","0","261.4","166.8","-0.6","669","0.0"
"","Maharashtra","22189","0","447.4","151.6","-1.2","719","0.0"
"","Goa","444","0","10.5","10.0","0.1","41","0.0"
"","DD","306","0","6.5","6.1","0.4","96","0.0"
"","DNH","633","0","14.2","14.1","0.1","59","0.0"
"","Essar steel","559","0","11.1","11.4","-0.3","298","0.0"
"SR","Andhra Pradesh","8686","0","189.7","67.3","1.4","628","0.0"
"","Telangana","8538","0","181.1","75.2","2.7","573","0.0"
"","Karnataka","11233","0","219.1","72.4","1.7","635","0.0"
"","Kerala","3653","0","70.9","48.5","1.4","218","0.0"
"","Tamil Nadu","13754","0","291.1","150.3","3.1","710","0.0"
"","Pondy","332","0","6.7","7.1","-0.4","36","0.0"
"ER","Bihar","4228","0","74.0","73.6","-1.9","460","0.0"
"","DVC","2934","0","61.7","-10.4","0.9","396","0.0"
"","Jharkhand","1132","0","24.5","15.3","-1.8","169","0.0"
"","Odisha","4689","0","88.9","38.6","0.6","267","0.0"
"","West Bengal","6609","0","122.1","17.2","1.1","309","0.0"
"","Sikkim","96","0","1.3","1.6","-0.3","18","0.0"
"NER","Arunachal Pradesh","121","2","2.2","1.7","0.5","47","0.0"
"","Assam","1444","34","23.6","16.9","2.2","176","0.6"
"","Manipur","187","3","2.6","2.4","0.1","44","0.0"
"","Meghalaya","303","0","5.2","3.1","-0.2","18","0.0"
"","Mizoram","85","1","1.5","1.0","0.1","32","0.0"
"","Nagaland","119","2","2.1","1.6","0.2","40","0.0"
"","Tripura","223","1","3.5","1.6","0.0","22","0.0"
