"Region","States","Max. Demand Met during the day (MW)","Shortage during maximum Demand (MW)","Energy Met (MU)","Drawal Schedule (MU)","OD(+)/UD(-) (MU)","Max OD (MW)","Energy Shortage (MU)"
"NR","Punjab","5961","0","132.1","40.0","-0.6","113","0.0"
"","Haryana","5727","0","120.0","55.8","3.8","291","0.0"
"","Rajasthan","12237","0","229.9","68.9","1.6","618","0.0"
"","Delhi","3509","0","59.3","43.3","-0.1","137","0.0"
"","UP","12855","0","255.3","99.4","-0.3","293","1.2"
"","Uttarakhand","1822","0","33.7","23.7","-0.3","133","0.0"
"","HP","1450","0","26.2","19.5","-0.1","103","0.2"
"","J&K","2398","600","46.1","40.1","-1.9","309","9.8"
"","Chandigarh","185","0","3.0","2.8","0.2","40","0.0"
"WR","Chhattisgarh","3539","0","77.2","13.8","-1.4","579","0.0"
"","Gujarat","14438","0","313.4","103.7","1.1","519","0.0"
"","MP","13488","0","255.2","141.1","-2.9","374","0.0"
"","Maharashtra","20391","0","420.5","111.3","-1.9","584","0.0"
"","Goa","488","0","10.6","9.4","0.7","26","0.0"
"","DD","280","0","6.5","5.9","0.6","74","0.0"
"","DNH","729","0","17.0","16.2","0.9","90","0.0"
"","Essar steel","549","0","11.1","11.4","-0.3","280","0.0"
"SR","Andhra Pradesh","7745","0","169.0","60.0","2.0","476","0.0"
"","Telangana","7750","0","164.0","66.8","2.3","467","0.0"
"","Karnataka","10006","0","193.9","64.8","0.3","439","0.0"
"","Kerala","3353","0","65.7","54.7","1.4","178","0.0"
"","Tamil Nadu","12186","0","262.4","119.7","1.2","496","0.0"
"","Pondy","287","0","6.1","6.5","-0.4","17","0.0"
"ER","Bihar","4061","0","73.6","67.9","2.6","460","0.0"
"","DVC","2951","0","62.5","-26.4","3.8","396","0.0"
"","Jharkhand","1112","0","20.9","16.9","-0.3","169","0.0"
"","Odisha","3535","0","69.5","29.0","2.0","267","0.0"
"","West Bengal","5687","0","105.1","20.0","3.8","309","0.0"
"","Sikkim","86","0","1.2","1.7","-0.5","18","0.0"
"NER","Arunachal Pradesh","109","2","2.2","1.8","0.4","24","0.0"
"","Assam","1335","12","22.4","16.9","1.2","132","0.2"
"","Manipur","174","2","2.8","2.9","-0.1","31","0.0"
"","Meghalaya","347","0","6.5","5.3","-0.2","2","0.2"
"","Mizoram","85","1","1.6","1.1","0.2","17","0.0"
"","Nagaland","126","3","2.1","1.7","0.2","35","0.0"
"","Tripura","213","1","3.4","1.3","0.3","58","0.0"
