"Region","States","Max. Demand Met during the day (MW)","Shortage during maximum Demand (MW)","Energy Met (MU)","Drawal Schedule (MU)","OD(+)/UD(-) (MU)","Max OD (MW)","Energy Shortage (MU)"
"NR","Punjab","5397","0","115.4","29.1","0.4","117","0.0"
"","Haryana","6419","0","118.1","62.3","1.0","146","0.0"
"","Rajasthan","11710","0","229.9","68.1","-0.8","457","0.0"
"","Delhi","3707","54","65.3","49.2","0.0","216","0.1"
"","UP","13124","0","267.6","111.8","0.3","317","1.7"
"","Uttarakhand","2027","0","38.2","26.6","0.6","172","0.0"
"","HP","1610","0","29.3","21.9","0.3","136","0.1"
"","J&K","2411","603","50.6","42.0","0.4","225","11.9"
"","Chandigarh","210","0","3.5","3.3","0.2","44","0.0"
"WR","Chhattisgarh","3611","0","76.6","16.8","0.9","703","0.0"
"","Gujarat","14537","0","314.9","69.7","0.6","618","0.0"
"","MP","13167","0","250.2","137.5","-2.8","1852","0.0"
"","Maharashtra","20159","0","413.0","94.3","-2.7","359","0.0"
"","Goa","453","0","9.6","9.4","-0.2","45","0.0"
"","DD","314","0","7.0","6.4","0.6","73","0.0"
"","DNH","716","0","16.6","15.9","0.7","85","0.0"
"","Essar steel","517","0","9.7","9.2","0.5","300","0.0"
"SR","Andhra Pradesh","8026","0","170.2","53.3","-0.2","526","0.0"
"","Telangana","7977","0","166.9","95.6","1.1","611","0.0"
"","Karnataka","11230","0","212.0","68.8","-2.0","288","0.0"
"","Kerala","3429","0","67.6","59.2","1.0","246","0.0"
"","Tamil Nadu","14227","0","301.0","147.8","0.5","316","0.0"
"","Pondy","344","0","6.7","7.2","-0.4","20","0.0"
"ER","Bihar","4016","0","72.1","68.9","0.2","460","0.0"
"","DVC","2885","0","62.0","-18.8","-0.7","396","0.0"
"","Jharkhand","1088","126","24.7","16.6","0.9","169","0.4"
"","Odisha","3652","0","69.9","23.5","1.6","267","0.0"
"","West Bengal","6505","0","118.2","25.7","0.4","309","0.0"
"","Sikkim","100","0","1.5","1.6","-0.1","18","0.0"
"NER","Arunachal Pradesh","119","2","2.1","2.0","0.2","8","0.0"
"","Assam","1385","31","23.6","18.7","1.2","72","0.5"
"","Manipur","178","2","2.6","2.8","-0.2","25","0.0"
"","Meghalaya","338","1","6.1","5.0","-0.1","19","0.3"
"","Mizoram","90","2","1.8","1.4","0.1","14","0.0"
"","Nagaland","126","2","2.1","1.9","-0.1","20","0.0"
"","Tripura","224","1","3.8","1.6","0.1","15","0.0"
