"Region","States","Max. Demand Met during the day (MW)","Shortage during maximum Demand (MW)","Energy Met (MU)","Drawal Schedule (MU)","OD(+)/UD(-) (MU)","Max OD (MW)","Energy Shortage (MU)"
"NR","Punjab","6740","0","126.3","47.5","-2.7","31","0.0"
"","Haryana","7467","0","132.9","91.5","-1.4","178","0.0"
"","Rajasthan","10170","0","224.7","70.9","-0.3","332","0.0"
"","Delhi","4886","0","98.7","85.6","-2.6","58","0.0"
"","UP","19268","0","358.7","163.0","-6.2","555","0.0"
"","Uttarakhand","1803","0","38.7","15.7","-0.3","129","0.0"
"","HP","1219","0","25.7","3.9","0.3","150","0.0"
"","J&K","2206","551","44.2","25.4","-1.8","64","10.4"
"","Chandigarh","203","0","4.1","4.7","-0.6","11","0.0"
"WR","Chhattisgarh","4544","0","104.1","47.3","-2.9","276","0.0"
"","Gujarat","17181","0","375.4","112.4","3.6","676","0.0"
"","MP","9688","0","217.3","107.6","-1.3","497","0.0"
"","Maharashtra","21987","0","504.1","150.8","-2.3","494","0.0"
"","Goa","541","0","13.5","10.4","2.5","65","0.0"
"","DD","312","0","7.2","7.0","0.2","26","0.0"
"","DNH","782","0","18.3","18.2","0.1","73","0.0"
"","Essar steel","328","0","6.7","6.2","0.5","299","0.0"
"SR","Andhra Pradesh","8801","0","189.0","66.1","0.4","907","0.0"
"","Telangana","7760","0","171.1","59.9","0.2","769","0.0"
"","Karnataka","11341","0","219.1","73.1","1.2","549","0.0"
"","Kerala","3915","0","79.3","55.0","1.6","184","0.0"
"","Tamil Nadu","14273","0","325.7","164.8","0.1","541","0.0"
"","Pondy","393","0","8.3","8.5","-0.1","39","0.0"
"ER","Bihar","5080","0","94.2","89.5","-0.4","100","0.0"
"","DVC","3229","0","77.2","-50.6","0.5","100","0.0"
"","Jharkhand","1259","0","26.5","17.1","-1.2","0","0.0"
"","Odisha","4606","0","94.6","35.2","4.0","400","0.0"
"","West Bengal","8850","0","177.7","50.4","2.2","50","0.0"
"","Sikkim","86","0","1.0","1.4","-0.4","0","0.0"
"NER","Arunachal Pradesh","112","3","2.1","2.4","-0.2","55","0.0"
"","Assam","1197","314","22.0","17.2","1.0","127","2.5"
"","Manipur","131","48","1.9","2.0","-0.2","32","0.2"
"","Meghalaya","334","0","5.3","4.2","0.2","62","0.4"
"","Mizoram","92","2","1.8","1.4","0.2","16","0.0"
"","Nagaland","128","4","2.2","2.2","0.1","8","0.0"
"","Tripura","254","9","4.5","4.7","-0.2","54","0.0"
