"Region","States","Max. Demand Met during the day (MW)","Shortage during maximum Demand (MW)","Energy Met (MU)","Drawal Schedule (MU)","OD(+)/UD(-) (MU)","Max OD (MW)","Energy Shortage (MU)"
"NR","Punjab","6925","0","151.1","79.6","-2.1","17","0.0"
"","Haryana","7515","0","151.4","115.1","-1.2","459","0.0"
"","Rajasthan","10196","0","211.8","60.6","-1.4","510","0.0"
"","Delhi","4904","0","101.8","92.8","-1.2","99","0.0"
"","UP","19932","0","404.7","178.7","-0.6","676","0.9"
"","Uttarakhand","1947","0","40.7","19.5","-0.9","169","0.0"
"","HP","1381","0","28.2","7.7","1.2","143","0.0"
"","J&K","2454","613","46.0","25.0","0.1","281","10.9"
"","Chandigarh","227","0","4.6","5.7","-1.1","0","0.0"
"WR","Chhattisgarh","4056","0","90.4","47.2","-5.0","300","0.0"
"","Gujarat","17202","0","377.8","88.7","5.1","480","0.0"
"","MP","9484","0","215.3","105.8","0.0","401","0.0"
"","Maharashtra","21964","0","495.2","134.0","-0.8","489","0.0"
"","Goa","541","0","11.5","11.5","-0.6","130","0.0"
"","DD","319","0","7.2","7.0","0.2","80","0.0"
"","DNH","786","0","18.2","18.2","0.0","120","0.0"
"","Essar steel","240","0","4.3","5.7","-1.4","160","0.0"
"SR","Andhra Pradesh","9432","0","197.6","52.2","0.2","539","0.0"
"","Telangana","7758","0","170.1","44.2","0.0","345","0.0"
"","Karnataka","11373","0","225.0","64.0","-0.2","458","0.0"
"","Kerala","3980","0","83.4","57.5","1.6","258","0.0"
"","Tamil Nadu","15586","0","343.8","167.3","-0.3","721","0.0"
"","Pondy","424","25","9.2","9.3","0.0","70","0.1"
"ER","Bihar","5287","0","99.5","98.8","-1.8","50","0.0"
"","DVC","3218","0","67.2","-49.4","-0.2","100","0.0"
"","Jharkhand","1252","0","26.3","17.2","-0.7","120","0.0"
"","Odisha","4537","0","82.2","23.3","1.3","200","0.0"
"","West Bengal","9156","0","184.1","57.8","0.2","280","0.0"
"","Sikkim","76","0","0.9","1.1","-0.2","15","0.0"
"NER","Arunachal Pradesh","108","2","2.2","2.1","0.1","44","0.0"
"","Assam","1580","20","24.9","20.4","0.5","110","1.0"
"","Manipur","169","2","2.2","2.2","0.0","46","0.0"
"","Meghalaya","325","0","5.3","3.1","0.3","34","0.4"
"","Mizoram","85","2","1.8","1.3","0.3","18","0.0"
"","Nagaland","118","2","1.9","1.9","-0.1","12","0.0"
"","Tripura","275","8","4.4","4.2","-0.1","40","0.0"
