"Region","States","Max. Demand Met during the day (MW)","Shortage during maximum Demand (MW)","Energy Met (MU)","Drawal Schedule (MU)","OD(+)/UD(-) (MU)","Max OD (MW)","Energy Shortage (MU)"
"NR","Punjab","8424","0","188.4","105.8","-1.2","36","0.0"
"","Haryana","8847","0","179.9","123.4","-0.4","111","0.0"
"","Rajasthan","11870","0","264.9","80.3","-0.4","615","0.0"
"","Delhi","6293","0","123.8","105.2","-0.9","225","0.4"
"","UP","20616","360","443.4","193.9","1.7","752","4.1"
"","Uttarakhand","1953","0","42.7","18.3","0.7","122","0.0"
"","HP","1223","0","26.8","1.1","-0.2","66","0.0"
"","J&K","2181","545","46.0","22.8","-0.7","196","10.9"
"","Chandigarh","284","0","6.1","6.3","-0.1","0","0.0"
"WR","Chhattisgarh","3882","0","90.0","33.5","-1.8","224","0.0"
"","Gujarat","17525","0","387.1","114.8","7.0","568","0.0"
"","MP","9642","0","219.9","118.7","0.0","449","0.0"
"","Maharashtra","20832","0","461.6","122.2","-4.1","503","0.0"
"","Goa","541","0","11.9","9.9","1.4","119","0.0"
"","DD","322","0","7.4","7.1","0.3","27","0.0"
"","DNH","733","0","17.1","17.5","-0.4","13","0.0"
"","Essar steel","288","0","5.5","5.7","-0.1","267","0.0"
"SR","Andhra Pradesh","9355","0","189.7","54.1","-1.4","453","0.0"
"","Telangana","7183","0","156.0","68.2","0.2","541","0.0"
"","Karnataka","8611","0","173.7","53.6","-1.7","446","0.0"
"","Kerala","3054","0","65.8","52.0","0.8","254","0.0"
"","Tamil Nadu","13782","0","312.0","136.8","0.0","698","0.0"
"","Pondy","399","0","8.2","8.5","-0.3","45","0.0"
"ER","Bihar","5156","0","105.8","102.1","-1.0","50","0.0"
"","DVC","3029","0","66.6","-49.3","2.1","200","0.0"
"","Jharkhand","1297","0","27.0","23.1","-0.3","100","0.0"
"","Odisha","4542","0","91.6","28.4","2.7","600","0.0"
"","West Bengal","8909","0","174.5","41.0","6.6","500","0.0"
"","Sikkim","78","0","1.0","1.1","-0.1","40","0.0"
"NER","Arunachal Pradesh","141","0","2.2","2.3","-0.1","27","0.0"
"","Assam","1629","12","29.3","23.5","0.5","122","0.5"
"","Manipur","147","1","2.2","2.3","0.0","17","0.0"
"","Meghalaya","321","0","6.0","1.8","-0.3","36","0.0"
"","Mizoram","80","1","1.6","1.4","0.1","24","0.0"
"","Nagaland","128","2","2.3","2.3","-0.1","20","0.0"
"","Tripura","274","0","4.6","3.9","-0.4","46","0.0"
