"Region","States","Max. Demand Met during the day (MW)","Shortage during maximum Demand (MW)","Energy Met (MU)","Drawal Schedule (MU)","OD(+)/UD(-) (MU)","Max OD (MW)","Energy Shortage (MU)"
"NR","Punjab","5167","0","100.8","50.5","-1.6","85","0.0"
"","Haryana","5818","0","111.4","99.9","-0.1","209","0.0"
"","Rajasthan","10902","0","208.2","64.0","-0.1","342","0.0"
"","Delhi","3276","0","61.5","51.6","-1.8","119","0.0"
"","UP","14634","0","264.6","120.8","-0.2","947","1.1"
"","Uttarakhand","1734","0","33.2","18.2","0.5","107","0.0"
"","HP","1534","0","27.3","19.3","-0.3","55","0.0"
"","J&K","2118","529","42.5","35.7","-0.7","201","10.1"
"","Chandigarh","188","0","3.3","3.2","0.1","35","0.0"
"WR","Chhattisgarh","3398","0","70.8","25.0","-1.0","325","0.0"
"","Gujarat","14913","0","316.8","82.2","1.6","650","0.0"
"","MP","11738","0","232.0","151.4","-2.2","419","0.0"
"","Maharashtra","19557","0","421.9","137.5","-2.0","423","0.0"
"","Goa","541","0","12.0","12.2","-0.8","71","0.0"
"","DD","311","0","6.8","6.3","0.5","41","0.0"
"","DNH","787","0","18.1","18.1","0.0","29","0.0"
"","Essar steel","284","0","5.7","5.7","0.0","295","0.0"
"SR","Andhra Pradesh","8420","0","175.1","81.5","-0.1","481","0.0"
"","Telangana","9179","0","191.5","77.1","0.4","395","0.0"
"","Karnataka","9172","0","180.4","39.2","-0.7","774","0.0"
"","Kerala","3705","0","72.1","55.4","1.0","179","0.0"
"","Tamil Nadu","13562","5","282.8","168.2","0.6","421","0.0"
"","Pondy","366","0","7.2","7.6","-0.5","40","0.0"
"ER","Bihar","4186","0","68.6","65.5","-0.1","400","0.0"
"","DVC","3046","0","61.8","-37.9","-0.1","350","0.0"
"","Jharkhand","1122","0","23.8","17.3","-1.6","31","0.0"
"","Odisha","3637","0","66.7","7.0","-0.9","200","0.0"
"","West Bengal","6291","0","110.8","36.2","0.1","350","0.0"
"","Sikkim","100","0","1.3","1.4","0.0","30","0.0"
"NER","Arunachal Pradesh","112","2","2.1","1.6","0.4","28","0.0"
"","Assam","1385","35","22.6","17.1","0.3","150","0.4"
"","Manipur","162","1","2.5","2.3","0.2","31","0.0"
"","Meghalaya","335","0","5.9","3.0","0.3","54","0.0"
"","Mizoram","93","1","1.7","0.4","1.0","27","0.0"
"","Nagaland","116","2","2.3","1.9","0.1","21","0.0"
"","Tripura","232","1","3.5","2.4","-0.3","61","0.0"
