"Region","States","Max. Demand Met during the day (MW)","Shortage during maximum Demand (MW)","Energy Met (MU)","Drawal Schedule (MU)","OD(+)/UD(-) (MU)","Max OD (MW)","Energy Shortage (MU)"
"NR","Punjab","6103","0","118.6","54.7","-1.5","40","0.0"
"","Haryana","6685","0","131.1","88.9","0.0","146","0.0"
"","Rajasthan","12994","0","232.8","53.9","-0.2","373","0.0"
"","Delhi","4477","0","76.9","59.9","-0.2","272","0.0"
"","UP","15328","0","276.6","115.5","-1.8","862","0.0"
"","Uttarakhand","2120","0","39.1","24.3","0.2","172","0.0"
"","HP","1694","0","30.4","23.9","-1.0","110","0.0"
"","J&K(UT) and Ladakh(UT)","2470","617","51.4","44.5","1.2","229","12.2"
"","Chandigarh","270","0","4.5","4.4","0.1","23","0.0"
"WR","Chhattisgarh","3608","0","78.2","22.2","-0.6","223","0.0"
"","Gujarat","15786","0","329.8","84.7","-1.4","341","0.0"
"","MP","13358","0","239.7","125.3","-3.0","567","0.0"
"","Maharashtra","22403","0","456.7","156.3","-0.2","387","0.0"
"","Goa","610","0","13.1","12.4","0.1","35","0.0"
"","DD","332","0","7.4","7.0","0.4","34","0.0"
"","DNH","821","0","19.0","19.0","0.0","59","0.0"
"","Essar steel","301","0","5.6","6.1","-0.5","250","0.0"
"SR","Andhra Pradesh","8366","0","167.7","65.0","-0.6","299","0.0"
"","Telangana","10749","0","223.4","114.2","0.5","488","0.0"
"","Karnataka","11574","0","209.0","47.1","-1.2","372","0.0"
"","Kerala","3580","0","72.5","54.8","1.0","196","0.0"
"","Tamil Nadu","13349","0","285.9","167.3","-0.1","558","0.0"
"","Pondy","335","0","6.7","7.2","-0.5","14","0.0"
"ER","Bihar","4389","0","71.6","70.3","-0.3","262","0.0"
"","DVC","3157","0","63.5","-32.0","-0.2","305","0.0"
"","Jharkhand","1310","0","24.1","16.0","-0.5","105","0.0"
"","Odisha","3668","0","66.9","13.3","0.4","270","0.0"
"","West Bengal","6051","0","111.8","27.7","0.8","305","0.0"
"","Sikkim","134","0","2.0","1.9","0.2","40","0.0"
"NER","Arunachal Pradesh","114","1","2.2","1.8","0.2","34","0.0"
"","Assam","1395","7","21.7","16.6","0.3","112","0.1"
"","Manipur","208","0","2.7","3.0","-0.3","70","0.0"
"","Meghalaya","357","0","6.0","2.4","0.6","95","0.4"
"","Mizoram","103","1","1.8","1.3","-0.1","22","0.0"
"","Nagaland","131","1","2.2","2.2","-0.2","18","0.0"
"","Tripura","219","0","3.5","1.5","0.2","54","0.0"
