"Region","States","Max. Demand Metduring the day(MW)","Shortage duringmaximum Demand(MW)","Energy Met (MU)","Drawal Schedule(MU)","OD(+)/UD(-)(MU)","Max OD(MW)","EnergyShortage (MU)"
"NR","Punjab","4869","0","96.0","66.6","-0.1","178","0.0"
"","Haryana","5456","0","103.4","91.2","0.4","170","0.0"
"","Rajasthan","12099","0","209.3","63.2","-3.4","169","0.0"
"","Delhi","3306","0","58.3","46.7","-0.3","143","0.0"
"","UP","13050","0","213.3","102.9","-1.0","945","0.0"
"","Uttarakhand","1750","0","32.8","12.1","0.2","198","0.0"
"","HP","1534","0","25.5","19.1","-0.7","128","0.0"
"","J&K(UT) & Ladakh(UT)","2130","533","48.8","39.6","-0.3","147","11.5"
"","Chandigarh","192","0","3.4","3.4","-0.1","17","0.0"
"WR","Chhattisgarh","3527","0","77.6","27.3","-0.9","438","0.0"
"","Gujarat","15685","0","333.1","92.6","2.7","640","0.0"
"","MP","10192","0","199.1","100.0","-1.2","533","0.0"
"","Maharashtra","22558","0","476.3","148.2","-1.0","436","0.0"
"","Goa","467","0","9.9","9.8","-0.4","29","0.0"
"","DD","325","0","7.4","7.1","0.3","29","0.0"
"","DNH","796","0","18.6","18.6","0.0","59","0.0"
"","Essar steel","761","0","5.1","5.1","0.0","229","0.0"
"SR","Andhra Pradesh","9809","0","198.5","85.4","1.2","501","0.0"
"","Telangana","11813","0","235.9","134.0","0.3","592","0.0"
"","Karnataka","12546","0","253.5","86.3","0.2","650","0.0"
"","Kerala","3926","0","81.6","65.2","1.0","176","0.0"
"","Tamil Nadu","15019","0","339.2","186.2","-0.7","702","0.0"
"","Puducherry","387","0","8.2","8.5","-0.3","34","0.0"
"ER","Bihar","3380","0","52.5","52.3","-2.2","277","0.0"
"","DVC","2858","0","58.3","-38.7","0.2","316","0.0"
"","Jharkhand","1071","0","18.1","11.5","-2.3","92","0.0"
"","Odisha","3994","0","78.1","2.8","0.4","301","0.0"
"","West Bengal","6508","0","129.0","37.3","-0.1","343","0.0"
"","Sikkim","147","0","1.4","1.9","-0.5","43","0.0"
"NER","Arunachal Pradesh","121","2","2.2","2.2","-0.1","71","0.0"
"","Assam","1374","19","22.8","19.8","-0.4","121","1.0"
"","Manipur","187","2","2.7","2.5","0.2","51","0.0"
"","Meghalaya","361","0","5.3","4.0","0.0","65","0.1"
"","Mizoram","97","1","1.7","1.4","0.2","30","0.0"
"","Nagaland","125","2","2.2","2.1","0.1","10","0.0"
"","Tripura","244","1","3.9","3.1","0.7","102","0.0"
