"Region","States","Max.DemandMet during the day(MW)","Shortage duringmaximum Demand(MW)","Energy Met(MU)","DrawalSchedule(MU)","OD(+)/UD(-)(MU)","Max OD(MW)","EnergyShortage (MU)"
"NR","Punjab","3044","0","56.1","42.7","-1.3","136","0.0"
"","Haryana","3632","0","64.8","58.2","0.5","127","0.0"
"","Rajasthan","6704","0","123.5","41.3","-1.8","508","0.0"
"","Delhi","2294","0","42.4","32.5","-2.0","12","0.0"
"","UP","13031","0","219.4","98.7","-0.2","1074","0.0"
"","Uttarakhand","959","0","16.9","3.0","-2.6","105","0.0"
"","HP","875","0","12.6","1.7","-2.8","67","0.0"
"","J&K(UT) & Ladakh(UT)","2202","550","40.9","32.7","-1.8","328","7.4"
"","Chandigarh","141","0","2.2","2.6","-0.4","2","0.0"
"WR","Chhattisgarh","3156","0","73.6","24.1","-1.5","244","0.0"
"","Gujarat","9263","0","201.7","64.1","2.1","544","0.0"
"","MP","7276","0","142.8","92.0","-1.4","683","0.0"
"","Maharashtra","16197","0","351.0","140.0","-1.1","479","0.0"
"","Goa","343","0","6.8","6.9","-0.1","33","0.0"
"","DD","63","0","1.4","1.2","0.2","17","0.0"
"","DNH","78","0","1.7","1.8","-0.1","18","0.0"
"","Essar steel","234","0","1.9","1.8","0.1","94","0.0"
"SR","Andhra Pradesh","8138","0","161.0","77.3","0.7","452","0.0"
"","Telangana","10211","0","208.6","108.0","0.4","763","0.0"
"","Karnataka","10660","0","214.6","76.2","0.0","537","0.0"
"","Kerala","3581","0","67.5","51.7","1.0","204","0.0"
"","Tamil Nadu","10791","0","244.5","171.5","1.8","540","0.0"
"","Puducherry","207","0","4.1","4.9","-0.8","18","0.0"
"ER","Bihar","4236","0","67.3","71.3","-5.5","120","0.0"
"","DVC","1664","0","32.9","-21.9","0.6","210","0.0"
"","Jharkhand","1302","0","23.0","14.9","-0.6","105","0.0"
"","Odisha","3939","0","82.8","2.1","0.8","205","0.0"
"","West Bengal","6270","0","125.2","36.2","2.6","340","0.0"
"","Sikkim","104","0","1.3","1.6","-0.3","30","0.0"
"NER","Arunachal Pradesh","112","1","1.9","1.2","0.6","30","0.0"
"","Assam","1287","26","21.0","17.8","0.2","68","0.3"
"","Manipur","183","0","2.4","2.3","0.1","21","0.0"
"","Meghalaya","249","0","3.7","3.5","-0.2","36","0.1"
"","Mizoram","93","1","1.5","1.3","-0.2","17","0.0"
"","Nagaland","109","2","2.0","2.0","-0.1","13","0.0"
"","Tripura","253","0","3.6","3.4","-0.1","57","0.0"
