"Region","States","Max.DemandMet during the day(MW)","Shortage duringmaximum Demand(MW)","Energy Met(MU)","DrawalSchedule(MU)","OD(+)/UD(-)(MU)","Max OD(MW)","EnergyShortage (MU)"
"NR","Punjab","3141","0","62.7","47.1","-0.7","122","0.0"
"","Haryana","3687","0","68.1","61.4","0.8","209","0.0"
"","Rajasthan","7888","0","141.4","42.8","-3.8","617","0.0"
"","Delhi","2292","0","43.1","32.4","-1.6","67","0.0"
"","UP","13370","215","220.8","100.7","-4.7","1210","0.0"
"","Uttarakhand","1040","0","17.3","0.9","1.6","222","0.0"
"","HP","797","0","12.5","-0.8","-0.1","118","0.0"
"","J&K(UT) & Ladakh(UT)","1809","319","41.9","33.6","-4.6","190","9.8"
"","Chandigarh","142","0","2.2","2.4","-0.2","20","0.0"
"WR","Chhattisgarh","3169","0","67.8","20.2","-1.3","262","0.0"
"","Gujarat","9800","0","212.0","77.4","2.3","1032","0.0"
"","MP","8107","0","155.6","88.3","-2.4","532","0.0"
"","Maharashtra","16137","0","345.2","131.4","-0.2","478","0.0"
"","Goa","357","0","6.7","7.1","-0.4","54","0.0"
"","DD","65","0","1.4","1.3","0.1","14","0.0"
"","DNH","77","0","1.7","1.7","0.0","19","0.0"
"","Essar steel","222","0","0.8","0.7","0.1","109","0.0"
"SR","Andhra Pradesh","8200","0","162.7","80.5","-0.1","515","0.0"
"","Telangana","9931","0","203.2","105.5","-0.7","349","0.0"
"","Karnataka","11002","0","218.2","78.9","-0.5","593","0.0"
"","Kerala","3661","0","69.3","53.5","0.6","233","0.0"
"","Tamil Nadu","11029","0","244.1","174.7","-0.7","351","0.0"
"","Puducherry","222","0","4.2","4.8","-0.6","40","0.0"
"ER","Bihar","4168","0","69.4","69.7","-2.0","302","0.0"
"","DVC","1555","0","30.5","-20.7","-0.8","341","0.0"
"","Jharkhand","1229","0","22.8","14.1","-0.2","176","0.0"
"","Odisha","3527","0","76.1","1.1","0.3","226","0.0"
"","West Bengal","6116","0","126.1","35.3","1.1","347","0.0"
"","Sikkim","101","0","1.2","1.3","-0.1","26","0.0"
"NER","Arunachal Pradesh","112","1","2.0","1.5","0.4","27","0.0"
"","Assam","1292","38","20.5","17.9","-0.5","61","1.0"
"","Manipur","187","2","2.5","2.2","0.3","21","0.0"
"","Meghalaya","254","0","3.4","3.1","-0.2","34","0.1"
"","Mizoram","94","0","1.6","1.2","0.0","24","0.0"
"","Nagaland","116","2","2.1","2.0","0.0","18","0.0"
"","Tripura","242","1","3.9","3.5","-0.6","30","0.0"
