"RegionRegion","States","Max. Demand Met during the day (MW)","Peak hourShortage (MW)","EnergyMet (MU)","DrawalSchedule (MU)","OD(+)/UD(-) (MU)","MaxOD (MW)"
"NR","Punjab","8579","725","195.0","125.5","0.7","170"
"","Haryana","7643","0","168.8","110.2","-2.1","350"
"","Rajasthan","7053","0","158.6","62.5","-8.7","0"
"","Delhi","4867","0","102.2","76.0","-3.3","123"
"","UP","10633","1690","231.2","118.7","-3.3","256"
"","Uttarakhand","1562","75","31.4","19.3","1.8","192"
"","HP","1135","0","24.5","3.2","-1.4","18"
"","J&K","1360","100","26.7","14.4","-1.1","80"
"","Chandigarh","282","0","5.7","6.0","-0.3","18"
"WR","Chhattisgarh","2616","7","58.0","18.3","-1.9","317"
"","Gujarat","9960","43","222.2","48.6","-2.7","365"
"","MP","4909","5","103.2","49.1","-2.0","331"
"","Maharashtra","13960","175","303.9","93.3","7.3","409"
"","Goa","345","25","7.7","8.4","-1.1","41"
"","DD","258","0","6.3","5.6","0.7","42"
"","DNH","615","1","14.2","13.9","0.3","37"
"SR","Andhra Pradesh","9929","1000","223.0","81.1","2.2","332"
"","Karnataka","7048","600","142.7","18.1","0.8","205"
"","Kerala","2909","0","50.8","27.4","2.6","277"
"","Tamil Nadu","11672","586","262.0","72.6","0.5","339"
"","Pondy","314","20","6.6","7.0","-0.4","38"
"ER","Bihar","1985","400","40.1","43.3","-3.3","100"
"","DVC","2603","0","54.6","-19.5","0.0","430"
"","Jharkhand","832","0","17.4","12.7","-1.7","50"
"","Odisha","3578","200","73.4","14.7","5.2","650"
"","West Bengal","6634","23","125.3","38.9","7.8","500"
"","Sikkim","88","0","1.2","1.3","-0.2","25"
"NER","Arunachal Pradesh","99","1","1.0","1.5","-0.5","20"
"","Assam","1118","144","21.0","13.8","2.1","183"
"","Manipur","105","2","1.4","2.0","-0.6","11"
"","Meghalaya","250","1","4.3","0.5","0.0","78"
"","Mizoram","57","3","1.0","1.2","-0.2","0"
"","Nagaland","88","2","1.6","1.5","-0.3","12"
"","Tripura","194","11","3.0","1.4","0.1","34"
