"RegionRegion","States","Max. Demand Met during the day (MW)","Peak hourShortage (MW)","EnergyMet (MU)","DrawalSchedule (MU)","OD(+)/UD(-) (MU)","MaxOD (MW)"
"NR","Punjab","4394","0","85.4","30.2","1.1","206"
"","Haryana","5508","0","97.3","47.0","0.0","268"
"","Rajasthan","8536","0","175.7","63.1","0.6","384"
"","Delhi","3871","0","67.6","45.3","-0.1","461"
"","UP","9805","2000","216.5","90.4","-1.6","241"
"","Uttarakhand","1758","40","34.7","24.2","2.4","215"
"","HP","1297","0","24.3","19.3","0.2","57"
"","J&K","1917","100","38.6","32.5","0.4","213"
"","Chandigarh","224","0","3.8","3.0","0.9","76"
"WR","Chhattisgarh","2729","88","66.2","23.7","3.0","340"
"","Gujarat","10945","18","235.7","37.0","2.2","411"
"","MP","6158","2","118.0","54.3","-4.0","422"
"","Maharashtra","16718","127","356.5","111.1","4.4","445"
"","Goa","430","0","8.0","7.4","-0.2","54"
"","DD","248","0","6.0","5.8","0.2","52"
"","DNH","652","0","15.3","14.6","0.7","76"
"","Essar steel","234","0","4.6","4.6","0.0","75"
"SR","Andhra Pradesh","11674","300","269.3","92.8","6.5","408"
"","Karnataka","9055","350","185.8","24.0","0.5","391"
"","Kerala","3251","150","60.6","27.5","2.6","246"
"","Tamil Nadu","12358","685","258.1","94.2","-0.7","314"
"","Pondy","299","0","5.4","5.9","-0.5","27"
"ER","Bihar","2058","0","41.6","39.0","-0.3","225"
"","DVC","2612","0","59.4","-15.4","-1.9","185"
"","Jharkhand","993","0","21.5","11.1","-1.5","85"
"","Odisha","3518","0","64.4","13.8","0.3","435"
"","West Bengal","6300","34","109.7","22.5","4.6","485"
"","Sikkim","100","0","1.3","1.4","-0.1","30"
"NER","Arunachal Pradesh","109","6","1.4","1.1","0.3","39"
"","Assam","912","261","17.6","10.7","2.2","160"
"","Manipur","129","1","1.6","1.3","0.3","71"
"","Meghalaya","251","1","5.0","2.9","0.6","64"
"","Mizoram","78","2","1.2","0.9","0.0","42"
"","Nagaland","102","1","1.6","1.3","0.1","25"
"","Tripura","197","0","3.3","0.0","0.6","55"
